# t = 000 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
4.923955115794471232e-02 3.124722985736687721e-04 2.070925437870818273e-02
8.239980666842704193e-02 5.323896215267197134e-04 2.892680969972820371e-02
1.361981079675071427e-01 8.808871523676295922e-04 3.898293453329915864e-02
2.235110493513318419e-01 1.427307265640704583e-03 5.163048267286676762e-02
3.650033283824263841e-01 2.269367430888657219e-03 6.763859387077572616e-02
5.926259809166327663e-01 3.538474755726058341e-03 8.779315415680814805e-02
9.551201891526869270e-01 5.401959071833063383e-03 1.129024350525709708e-01
1.527399804142902218e+00 8.057737453254528240e-03 1.437775309598563755e-01
2.419989718188080730e+00 1.171157686948157833e-02 1.811644617983472760e-01
3.785183204253480316e+00 1.653089595950073959e-02 2.256315218866222494e-01
5.778864236514007047e+00 2.257598777958002428e-02 2.774477406212751962e-01
8.566469797206865522e+00 2.972233669843500972e-02 3.365231468942121440e-01
1.228453794174048319e+01 3.759448028405749931e-02 4.022689562157049648e-01
1.721943266688566254e+01 4.551194226151819566e-02 4.734798707218971225e-01
2.193336331856510313e+01 5.250230831306744450e-02 5.483089830085587923e-01
2.652987848369675916e+01 5.742366236388214001e-02 6.237227885572160790e-01
2.953656347360381318e+01 5.925178459605765641e-02 6.959284445469109404e-01
2.950914982522014540e+01 5.751799149169464082e-02 7.607447849350829072e-01
2.572398815516254800e+01 5.255632748933097148e-02 8.146576797354289079e-01
1.903832889831383568e+01 4.501728160904875514e-02 8.544170410362349477e-01
1.168429926990715018e+01 3.601931872005049995e-02 8.771220195260989172e-01
5.804131946219569294e+00 2.685651764847104758e-02 8.813226063875070349e-01
2.321686918990797821e+00 1.860321292143809688e-02 8.657813012264433672e-01
7.416307745214865133e-01 1.191245492474162122e-02 8.287955161475889510e-01
1.862084624149592804e-01 7.048700551482070704e-03 7.693859165836153258e-01
3.590723856434999139e-02 3.869006988053124915e-03 6.889578646913839810e-01
5.054158850653084865e-03 1.974891912356446354e-03 5.908197875090260842e-01
4.537878186773533777e-04 9.374430105892343941e-04 4.802788917942535374e-01
1.626476266748594354e-05 4.128407531022765427e-04 3.656343301122298994e-01
7.965388953372733254e-08 1.680437508376397197e-04 2.574645187008823832e-01
7.906118440395199259e-09 6.278610492535286218e-05 1.652069930772947226e-01
7.545813121749417992e-10 2.138197301870181568e-05 9.167787477484443115e-02
6.710670525206463413e-11 6.589632658001635693e-06 4.697764970894421216e-02
5.724584975535391311e-12 1.833180491776772559e-06 2.050283220623955530e-02
5.018930506741432516e-13 4.584173010319836478e-07 7.027662496683459610e-03
4.572285156431356476e-14 1.023733611109193603e-07 1.351819015240560314e-03
3.954172255739614396e-15 2.028133404670516710e-08 0.000000000000000000e+00
2.962948045050429327e-16 3.582151007106852917e-09 0.000000000000000000e+00
1.962989269357706339e-17 5.877641261545998094e-10 0.000000000000000000e+00
8.237272634671824540e-07 2.605006078414728366e-04 0.000000000000000000e+00
