# t = 024 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.851857917822908151e-02 2.899672341820053005e-03 3.574476220059232684e-02
6.490620241471038721e-02 4.955061711377378199e-03 5.038692094062780652e-02
1.074961620428748765e-01 8.265274511326425183e-03 6.894154632204298194e-02
1.760311818696941311e-01 1.354669619342486510e-02 9.271204645137177958e-02
2.856140384318368031e-01 2.185343800697677613e-02 1.232970553089441090e-01
4.580759314046603525e-01 3.469759120524209400e-02 1.624845411120449112e-01
7.233537112686927451e-01 5.417672905747611400e-02 2.122296252147750639e-01
1.120964955486129400e+00 8.308232487072321482e-02 2.746057070891083085e-01
1.696013039123524635e+00 1.249575574805075473e-01 3.517112163926391921e-01
2.486801600202585227e+00 1.840141682764642739e-01 4.455153729202464552e-01
3.464985939805198978e+00 2.648470253174894373e-01 5.577068249345861206e-01
4.542190070665083290e+00 3.718648855173241619e-01 6.895669210066263100e-01
5.577300062842637907e+00 5.082638453180416960e-01 8.416845127186626252e-01
6.618878495438818454e+00 6.744158308529623058e-01 1.013970039104144183e+00
6.544984797346516281e+00 8.660079920933505537e-01 1.205314074203649666e+00
6.099539403605618304e+00 1.072508303750877356e+00 1.413320553906037391e+00
5.198091579513293148e+00 1.276314209063272642e+00 1.633758127908256474e+00
4.022256620760660262e+00 1.452681504590098038e+00 1.859313551788278174e+00
2.832131022614193139e+00 1.572579322320838413e+00 2.079610768743192395e+00
1.834674520579039125e+00 1.611263209908632144e+00 2.284989285397362568e+00
1.111033487715090473e+00 1.559938974575260318e+00 2.467986055397015210e+00
6.429074616715121371e-01 1.426420115265197408e+00 2.615017973945700902e+00
3.647620717555554171e-01 1.226046751432663395e+00 2.711237723990004511e+00
2.052049455700964975e-01 9.888207660777639241e-01 2.742730647922592357e+00
1.144069881674497358e-01 7.485044161339967639e-01 2.699667438322344903e+00
6.238712036173248848e-02 5.338116469171860778e-01 2.578346092384903088e+00
3.284155060135610787e-02 3.609625724970301208e-01 2.381235171649419780e+00
1.650350872307849645e-02 2.332042261479817802e-01 2.119947105312029123e+00
7.845333627068466070e-03 1.453547355694994603e-01 1.815846369673081329e+00
3.418643156086114375e-03 8.907594811246594135e-02 1.496929863554336659e+00
1.276630837318604812e-03 5.508166823852275046e-02 1.191066415717687788e+00
3.977387487541604724e-04 3.403764147041814930e-02 8.847807949123824844e-01
1.069506762476944635e-04 2.080749328646455329e-02 6.705703551868347212e-01
2.428689966052068340e-05 1.243015278192859292e-02 4.972044332813588818e-01
4.566827183211517763e-06 7.239543179934886628e-03 3.684615087813888912e-01
6.995775685476674565e-07 4.194869712299302382e-03 2.873434442060734395e-01
8.620029391684791248e-08 2.536851092529660706e-03 0.000000000000000000e+00
8.447114749746922919e-09 1.714713357307946339e-03 0.000000000000000000e+00
6.910839735014717249e-10 1.131195584728923904e-03 0.000000000000000000e+00
8.071767016276867274e-06 4.733416063310197960e-04 0.000000000000000000e+00
