# t = 061 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.727935454940071308e-02 4.836638826257217035e-03 3.983244955266601606e-02
6.310446992520526988e-02 8.239328330388805480e-03 5.640962524565473757e-02
1.048055993058037566e-01 1.369088511082236677e-02 7.751917600083239879e-02
1.723824528433058612e-01 2.235202885691374083e-02 1.047189401041730000e-01
2.809786753610115650e-01 3.592713057217536421e-02 1.398893464842141943e-01
4.524993715599019417e-01 5.686485474723273342e-02 1.851423144589678937e-01
7.162267210856392285e-01 8.860406486138322490e-02 2.427844016811341321e-01
1.107445523463822967e+00 1.357888248181718105e-01 3.152420256921271147e-01
1.662258760656096346e+00 2.044331955776364784e-01 4.049398031392083541e-01
2.402659796846039697e+00 3.019288333460110052e-01 5.140980082780367555e-01
3.301631051470103717e+00 4.367620532005156986e-01 6.444038430250337290e-01
4.277547774318838592e+00 6.178243918958655767e-01 7.972562199480454082e-01
5.184774590300802899e+00 8.529166615100420845e-01 9.732877012710973164e-01
5.642595599632985959e+00 1.145959065528983079e+00 1.172192642438600663e+00
5.325418813693731046e+00 1.494342034607423875e+00 1.392499339563561422e+00
4.830361752427094757e+00 1.885321718230721366e+00 1.631458621235792661e+00
4.029095489237763061e+00 2.293782163132454865e+00 1.884752052422094648e+00
3.061377795670732649e+00 2.679829056860043135e+00 2.145355416222597622e+00
2.121886164448469891e+00 2.989275192713147788e+00 2.402282938329509232e+00
1.349186562509262943e+00 3.164862733132338679e+00 2.641920886843465599e+00
7.961321347446709273e-01 3.171560074817762143e+00 2.852949960358467596e+00
4.437980874265073372e-01 3.008658196709459443e+00 3.026085744944043032e+00
2.386255108410335612e-01 2.687287818353923274e+00 3.144510427048642587e+00
1.260196413470208165e-01 2.252250052279950676e+00 3.189121226766048700e+00
6.611905365413013602e-02 1.767696427125207803e+00 3.142305477109941236e+00
3.463275327541603943e-02 1.301108767599284288e+00 2.997913815808609606e+00
1.809270016468082776e-02 9.021589356006843863e-01 2.759539176742993760e+00
9.375778898916137249e-03 5.934279039391994193e-01 2.441233246409928004e+00
4.780526502053359175e-03 3.738021597854721545e-01 2.067769947080753568e+00
2.358788961006745219e-03 2.280347608824171979e-01 1.672648246404543348e+00
1.110951892195952313e-03 1.363235922087517316e-01 1.291134229707726844e+00
5.183441209486427123e-04 8.064940735463890786e-02 9.176399372983420344e-01
2.237497073144109551e-04 4.754240677467561765e-02 6.573329663538372003e-01
8.790666961675392679e-05 2.805924484138062891e-02 4.539416850918834290e-01
3.113045191856072120e-05 1.665993954107872210e-02 3.070397391949787336e-01
9.787624072697847759e-06 1.010081718858623322e-02 2.094768442877888437e-01
2.704232911819409443e-06 6.547408707702273740e-03 0.000000000000000000e+00
6.643712407118180182e-07 4.754020062813410150e-03 0.000000000000000000e+00
1.554113033950818705e-07 3.194432358609969498e-03 0.000000000000000000e+00
1.328180938734398252e-05 5.145781906019128524e-04 0.000000000000000000e+00
