# t = -002 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e              nux
4.851321127634235925e-02 1.936375382203164353e-04 1.770655544342084747e-02
8.048688867613755515e-02 3.292384986450290030e-04 2.464048486914642566e-02
1.319067795001338805e-01 5.431127692401202783e-04 3.308874970970456658e-02
2.143195676461475685e-01 8.774229668952520040e-04 4.367387191897319915e-02
3.460311609430388735e-01 1.390481294248521868e-03 5.700689375835625572e-02
5.547987333608548344e-01 2.159852068429974660e-03 7.369140635583155963e-02
8.813454162841222184e-01 3.283112868028834931e-03 9.432804374770636935e-02
1.384858156086784531e+00 4.874997696377069561e-03 1.194974955279930889e-01
2.150255574674514225e+00 7.054176373660157179e-03 1.497123007352288149e-01
3.290308033863249104e+00 9.917577955809088464e-03 1.853502120618969462e-01
4.901532808119929641e+00 1.350215948071020397e-02 2.265560536646511747e-01
7.076665609795593781e+00 1.774194378607144712e-02 2.731738449419309767e-01
9.864121757834663384e+00 2.243351184303913823e-02 3.246748610627485099e-01
1.333266812573504012e+01 2.720222853224118012e-02 3.799206370810793154e-01
1.622253093347260489e+01 3.151293269462541319e-02 4.370752249835739289e-01
1.824886041170024598e+01 3.470626758007559765e-02 4.936863014855603082e-01
1.824533373377192191e+01 3.616022722050844102e-02 5.462929897359455333e-01
1.566945777454912303e+01 3.553515178566035021e-02 5.913959624214679689e-01
1.111387579626799571e+01 3.290314683885162128e-02 6.255538263001092503e-01
6.172420401964214598e+00 2.850999747318509053e-02 6.435839860635657050e-01
2.479951006082857123e+00 2.293764990859659472e-02 6.393549382111646251e-01
6.248304031186560081e-01 1.701898763862414940e-02 6.070885158842637130e-01
7.303363721564830324e-02 1.158584123835300871e-02 5.436627684776584868e-01
6.433558871547110335e-03 7.202205293169687030e-03 4.512619481500515506e-01
1.208136173514176830e-03 4.051987029072784928e-03 3.385257153961632737e-01
2.190551411811438791e-04 2.034978148359916153e-03 2.204472201933019571e-01
3.543969657278329071e-05 8.945775399420759916e-04 1.162655947451086830e-01
4.987390271072143342e-06 3.345711871541702867e-04 4.298772984960756022e-02
6.099873850863992284e-07 1.018506295125140928e-04 7.313801130590691889e-03
6.601458816626908698e-08 2.334751644767642836e-05 5.255487751449333244e-05
6.225239600120093988e-09 3.321652853309964793e-06 7.889489845171463054e-08
4.693165243254413627e-10 1.655792537964459107e-07 1.619049335663636979e-08
3.394474301455826158e-11 1.515814979363637977e-09 4.755500251832580643e-09
4.018207738924290315e-12 9.195800760383746770e-10 1.853124066718334878e-09
4.988018037797583742e-13 5.690680567083310386e-10 8.206720200238637708e-10
5.551240952082173116e-14 3.526282483545691841e-10 4.051807170473753839e-10
5.253797605127470390e-15 2.206929509055683310e-10 0.000000000000000000e+00
4.053326361955401394e-16 1.584389458070269800e-10 0.000000000000000000e+00
2.676048519879414205e-17 1.518956986650145401e-10 0.000000000000000000e+00
4.943271852720824536e-07 2.173107311856295042e-04 0.000000000000000000e+00
