# t = 074 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.653778674198284587e-02 5.169302249964596516e-03 4.069611066050500547e-02
6.182255495182822913e-02 8.778976488994014518e-03 5.766551097719766622e-02
1.026158780738164328e-01 1.454646880010043893e-02 7.931371881462724593e-02
1.687144365945891789e-01 2.368500903419540685e-02 1.072408682299225841e-01
2.748735080739775349e-01 3.797410227298459590e-02 1.433825299090729366e-01
4.424356278532723952e-01 5.996954794647124665e-02 1.899190062712332594e-01
6.998561493714064996e-01 9.326279194920118754e-02 2.492330166474031605e-01
1.081119806504374115e+00 1.427056061111642848e-01 3.238171052272824646e-01
1.620486532300588589e+00 2.145947743996317325e-01 4.161624607471330339e-01
2.340679429980376813e+00 3.167206072642042569e-01 5.284985249207319047e-01
3.233896946720629995e+00 4.580976722266996704e-01 6.626257675550722981e-01
4.229717937261886718e+00 6.482810078449370295e-01 8.199154277188572815e-01
5.183481073705427988e+00 8.956296697665790951e-01 1.001005763963285666e+00
5.526917733042981062e+00 1.205189386449238453e+00 1.205559984228649961e+00
5.291367389586655534e+00 1.574846586587653974e+00 1.432047085637433215e+00
4.861140335304469318e+00 1.992076622969651600e+00 1.677653284255354871e+00
4.111111328619782235e+00 2.431269686090130389e+00 1.938020923329603740e+00
3.173864806174733211e+00 2.851203483427475316e+00 2.206058491061011484e+00
2.238084921475901101e+00 3.195731487890685951e+00 2.470512865216043963e+00
1.447595889877288933e+00 3.404328407852595273e+00 2.717249005906307247e+00
8.670956756191582349e-01 3.434590524223592123e+00 2.934770418301390738e+00
4.886235629271866721e-01 3.277267295241352407e+00 3.114320495730024785e+00
2.641932702318749437e-01 2.946403361080700556e+00 3.238311852533777735e+00
1.396185416040777172e-01 2.486886649773188740e+00 3.286876018909230091e+00
7.307928113069540876e-02 1.966237797835952650e+00 3.242241384646452840e+00
3.798322603148216597e-02 1.457822565908006851e+00 3.097753843032438059e+00
1.966621713390523732e-02 1.017651154688680615e+00 2.856421128392129916e+00
1.017259379779153830e-02 6.730965211421177097e-01 2.531674606381878689e+00
5.181831337329738385e-03 4.254945384473293735e-01 2.148036318951912715e+00
2.575947031333324262e-03 2.598347725189182889e-01 1.739754410009159535e+00
1.236494316844439882e-03 1.550693755582819855e-01 1.343664461603112592e+00
5.768405048331684461e-04 9.133150809788796731e-02 9.545437951393231923e-01
2.604063035892375979e-04 5.338917365798193093e-02 6.826271818746291187e-01
1.118281178361082761e-04 3.102898975968071058e-02 4.686284887954753064e-01
4.512421128595879815e-05 1.814429371615842307e-02 3.120730978987877879e-01
1.651675161851839309e-05 1.083566383860177194e-02 2.083975029564725245e-01
5.532861777776062327e-06 6.910783472473109451e-03 0.000000000000000000e+00
1.781982784457672296e-06 4.871759975557700406e-03 0.000000000000000000e+00
5.557203008509151959e-07 3.099374298087539253e-03 0.000000000000000000e+00
1.420242741495277261e-05 5.261449614496518630e-04 0.000000000000000000e+00
