# t = 034 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.816022803569084354e-02 3.640463967697913587e-03 3.729607970973639747e-02
6.444952370982394430e-02 6.222981176665796400e-03 5.265613312999533474e-02
1.069328488518581505e-01 1.038102604886221268e-02 7.216688478734716028e-02
1.754819556977026129e-01 1.701581264007131708e-02 9.722771719846004523e-02
2.853382778252797625e-01 2.745477959080823774e-02 1.295370133493042586e-01
4.584662273172658287e-01 4.360985608443324751e-02 1.710078404493609316e-01
7.246995037145764762e-01 6.815449635303226505e-02 2.237236337698310651e-01
1.122031698789889953e+00 1.046757755002597212e-01 2.898927115883763173e-01
1.690784620488777534e+00 1.577665859724342035e-01 3.717399181159994348e-01
2.458958272268281675e+00 2.329808740160161651e-01 4.713372194939914328e-01
3.380175467444684223e+00 3.365324851394002614e-01 5.904394042772984630e-01
4.347091945719187223e+00 4.746453679140603121e-01 7.302502691261633094e-01
5.207085693575487895e+00 6.523076786738162269e-01 8.914402563075957131e-01
6.012277485056684689e+00 8.712147771592676504e-01 1.073866460857844984e+00
5.720795720230879233e+00 1.127290422880799614e+00 1.276280119928056234e+00
5.172498237570623658e+00 1.408509772527937631e+00 1.496161131319109661e+00
4.287686664234410472e+00 1.693187688287283832e+00 1.729164939727086514e+00
3.232243185363811389e+00 1.949403607173659569e+00 1.967784166068167861e+00
2.222418707701368401e+00 2.137479165941680748e+00 2.201074890710164933e+00
1.407637013422763372e+00 2.219970227353107894e+00 2.418394255787336800e+00
8.342926955652336662e-01 2.179538295202279929e+00 2.611795320885193394e+00
4.723090644160747864e-01 2.023037482978169876e+00 2.767861116460061943e+00
2.609625014228119100e-01 1.765803150231494367e+00 2.870841598502420933e+00
1.434293057962584272e-01 1.445920241834581565e+00 2.905543935878195594e+00
7.829923751441462965e-02 1.110172239182105614e+00 2.860397911930857795e+00
4.248983911227702942e-02 8.018579273913226668e-01 2.729613504621712039e+00
2.277270929825090176e-02 5.483404609329296520e-01 2.514463735769025821e+00
1.231360708408149075e-02 3.581250149906087255e-01 2.228427339602366608e+00
6.326094414475093991e-03 2.255878529337907168e-01 1.894250009237782084e+00
2.990257483372437200e-03 1.382903696714722075e-01 1.541955376323580484e+00
1.243857147291166148e-03 8.316869736976628680e-02 1.203258518574412239e+00
4.518115115342042514e-04 4.992691473212559905e-02 8.723526334972013796e-01
1.480277617671451424e-04 3.080973815580181213e-02 6.456932480190571422e-01
4.255911970567156699e-05 1.924905119785394123e-02 4.652540388708322205e-01
1.050801280830353584e-05 1.207847027885594615e-02 3.298148663299491079e-01
2.179595532111655619e-06 7.601580792339538740e-03 2.382857234872303720e-01
3.723092463594341376e-07 4.948133418602869774e-03 0.000000000000000000e+00
5.168689690032535339e-08 3.526094300904653207e-03 0.000000000000000000e+00
6.237536019385361795e-09 2.383068644324003345e-03 0.000000000000000000e+00
1.006985179393123297e-05 4.889412969651913765e-04 0.000000000000000000e+00
