# t = 060 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.738050359110580562e-02 4.812528945382432005e-03 3.979939837609146325e-02
6.327190151945792651e-02 8.202447854204042432e-03 5.634649998582301478e-02
1.050896804353545627e-01 1.363330175200170268e-02 7.742624465815260704e-02
1.728510338996346596e-01 2.226291247348133676e-02 1.045876993175903630e-01
2.817361502844493715e-01 3.579225088754236367e-02 1.397069739387928056e-01
4.536914810799883568e-01 5.666505053823581856e-02 1.848944900127408308e-01
7.180391805903497682e-01 8.830963974558325713e-02 2.424478430638584148e-01
1.110120724258808256e+00 1.353539278953786729e-01 3.147834868955942111e-01
1.666154679838820929e+00 2.037796979080304383e-01 4.043200822878453837e-01
2.408046834515287671e+00 3.009452590238191338e-01 5.132819029486007656e-01
3.307030811886059851e+00 4.352927243231898280e-01 6.433687676607656725e-01
4.280229195608979076e+00 6.156495211146029156e-01 7.959523947065664240e-01
5.181287071916062636e+00 8.497730465347217432e-01 9.716829913773570304e-01
5.651135341216933838e+00 1.141471344997770920e+00 1.170257987097175656e+00
5.323538421962100919e+00 1.488022286922504378e+00 1.390203685784289878e+00
4.823529090987480394e+00 1.876687724190946760e+00 1.628762562598910169e+00
4.019382920104039414e+00 2.282405876444517645e+00 1.881592897826833477e+00
3.050977655195636906e+00 2.665304478604907601e+00 2.141620875423082548e+00
2.112979506403421137e+00 2.970968739917684953e+00 2.397825128958681162e+00
1.343022182907438244e+00 3.141976194820990553e+00 2.636651375180947277e+00
7.927234754672821682e-01 3.144681040142199180e+00 2.846825703081336201e+00
4.423762497375711700e-01 2.980709466694727805e+00 3.018891709732098860e+00
2.382712051522141716e-01 2.659717225530729756e+00 3.136105863196355426e+00
1.260725336476144487e-01 2.226852353526411310e+00 3.179512367101247072e+00
6.624926465166021405e-02 1.746125184350646009e+00 3.131617488046584352e+00
3.473470539623538245e-02 1.284311126169215278e+00 2.986534659890657473e+00
1.815845042720195743e-02 8.901821657344169969e-01 2.748066059946532746e+00
9.415371068827557005e-03 5.855802108964405228e-01 2.430323395010117515e+00
4.800270565011774057e-03 3.690429072424685208e-01 2.057982854788638072e+00
2.364620960802000463e-03 2.253242029280857206e-01 1.664416850688487992e+00
1.114426926673669398e-03 1.348279096746121952e-01 1.284644299589184913e+00
5.109374137643431452e-04 7.981451873803097063e-02 9.128812824825336403e-01
2.162547917245619751e-04 4.705541129052368682e-02 6.536640125282502378e-01
8.358612873239210561e-05 2.776204842759522756e-02 4.514342724781910676e-01
2.898298020911686498e-05 1.647441115089139790e-02 3.060897729520783983e-01
8.960985238720867678e-06 9.981592048604669837e-03 2.095487432693278196e-01
2.465505331548026833e-06 6.455764399494186984e-03 0.000000000000000000e+00
6.210816651467985967e-07 4.661812669786542622e-03 0.000000000000000000e+00
1.501753084594891542e-07 3.119538884241013135e-03 0.000000000000000000e+00
1.326698703757088970e-05 5.152362725399042441e-04 0.000000000000000000e+00
