# t = 019 ms, neutrino energy spectrum for the wh07.20.40g model
# nu_e                   anti-nu_e                nux
3.910139562663997315e-02 2.416623862695966001e-03 3.459982221713846923e-02
6.581798162846329292e-02 4.125425267784372206e-03 4.872337887885752616e-02
1.089397947537309036e-01 6.874261838549645953e-03 6.658939523782118897e-02
1.783005613086359187e-01 1.125282967463584957e-02 8.943650062182385840e-02
2.892076765733458954e-01 1.812600441078821359e-02 1.187946683055815383e-01
4.639099965161165295e-01 2.872644469015217181e-02 1.563615760435478341e-01
7.332030366728594650e-01 4.474726881809217016e-02 2.039990593613577874e-01
1.138559278041756606e+00 6.842248012225167486e-02 2.636793986026184089e-01
1.729612679322275692e+00 1.025486168850166663e-01 3.374021915122837889e-01
2.553564536416869757e+00 1.503799392188980844e-01 4.270481447192068236e-01
3.597401931078658244e+00 2.153590698713432894e-01 5.342359191271461860e-01
4.790653927452462213e+00 3.006148680187524236e-01 6.602003973959574834e-01
6.001119510617098030e+00 4.081101665025603786e-01 8.056154286224449512e-01
7.267857004300749324e+00 5.373674212011080309e-01 9.702327222087991920e-01
7.410087319169596398e+00 6.840707702962233183e-01 1.153054620040390832e+00
7.089112891008733541e+00 8.390074231605522126e-01 1.351735732524532718e+00
6.188181181671733810e+00 9.876298442348944162e-01 1.562155839111895039e+00
4.893965248129052092e+00 1.110428822353696221e+00 1.777301005702746295e+00
3.528323043796234959e+00 1.185997235756493851e+00 1.987382187716460358e+00
2.337543095832361750e+00 1.198519737825116005e+00 2.183273767694325684e+00
1.449026140750353742e+00 1.144870006392561201e+00 2.357637022900764823e+00
8.581183637055872504e-01 1.032066231585996086e+00 2.497628573873387214e+00
4.949274280350246524e-01 8.739928085539524494e-01 2.589494220139648917e+00
2.795861991233863364e-01 6.946078477539222584e-01 2.620355991596538203e+00
1.540716741789374677e-01 5.184435751593499120e-01 2.580826190529271980e+00
8.242874846361948615e-02 3.648349559034216316e-01 2.467541951195709515e+00
4.246303780061792821e-02 2.435693417140416261e-01 2.283896122995956901e+00
2.077197419362129815e-02 1.557914618652906924e-01 2.040921067368892672e+00
9.498661980712235636e-03 9.728697035430719509e-02 1.758436698744700655e+00
3.917295735313516998e-03 6.054030057015014066e-02 1.462534563674200871e+00
1.348869431041521639e-03 3.722986302346772275e-02 1.176361850816693755e+00
3.728766818944943872e-04 2.239570173945896331e-02 8.835110888111636918e-01
8.641751597421437332e-05 1.303794665430284272e-02 6.796537052251436783e-01
1.652794987151704324e-05 7.362820845119337314e-03 5.159524938895395652e-01
2.575409907880624564e-06 4.076138757714667035e-03 3.969955484661775724e-01
3.239773418818076295e-07 2.246973856920891650e-03 3.307414057266741536e-01
3.273133433059442251e-08 1.287381345843210609e-03 0.000000000000000000e+00
2.641133059509272146e-09 8.235226083292449765e-04 0.000000000000000000e+00
1.775286077899979751e-10 5.210785601706285387e-04 0.000000000000000000e+00
6.742583334719212645e-06 4.604271514914505840e-04 0.000000000000000000e+00
