# t = 051 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.203895513120558203e-02 3.545491942106007797e-03 3.613364549665533387e-02
5.413613187032988855e-02 6.062961752397633304e-03 5.112097004838921099e-02
8.970118858466406830e-02 1.011647682352331303e-02 7.021964447387409047e-02
1.473213038757646420e-01 1.658802272757043186e-02 9.481859178974053060e-02
2.400838761342949101e-01 2.678426216221045306e-02 1.266306131592285500e-01
3.862945894238272726e-01 4.259218183887139575e-02 1.675584088821247264e-01
6.111281689891977509e-01 6.667254734460149879e-02 2.196669515986418020e-01
9.467174841214692771e-01 1.026600795032003993e-01 2.851800027829637929e-01
1.419538878590625997e+00 1.552715734550843274e-01 3.662641153630616375e-01
2.042682111361693309e+00 2.303165679212881845e-01 4.649207954360259354e-01
2.777639324689388900e+00 3.345071045373253504e-01 5.827872332758624596e-01
3.526297273855109715e+00 4.749001904963085496e-01 7.208907087418461312e-01
4.147587695262734186e+00 6.577413433612542271e-01 8.797207424824413646e-01
4.689975025722268320e+00 8.863848884503255920e-01 1.058914395482275062e+00
4.371115217279561094e+00 1.158603239169499366e+00 1.256959155037692177e+00
3.888533935159205424e+00 1.463859931729295738e+00 1.471143755150115862e+00
3.184013718358154055e+00 1.782294315106654592e+00 1.697331415957758161e+00
2.372304825465928690e+00 2.082119740893510595e+00 1.928957170190745085e+00
1.610776432799740254e+00 2.319943507612115763e+00 2.155950032382409898e+00
1.003096789056684202e+00 2.449744871253929812e+00 2.366155974985117538e+00
5.802243567808244018e-01 2.444996685469833064e+00 2.550091942383454491e+00
3.176913546634199670e-01 2.309075392260128368e+00 2.700208756463317261e+00
1.681875781577651385e-01 2.050713519030594512e+00 2.800855454691766777e+00
8.761292216601122840e-02 1.706720606051591149e+00 2.834047293098355347e+00
4.538562451167257872e-02 1.328275754257686403e+00 2.786672130018112092e+00
2.349581771876443209e-02 9.681226319857887397e-01 2.653589945530329786e+00
1.215592642769354297e-02 6.638435199098742245e-01 2.437931476977522216e+00
6.258224505992928711e-03 4.312984389826181042e-01 2.151754677822278694e+00
3.193187151473864376e-03 2.680417865608364369e-01 1.816656257692109033e+00
1.596820739398563740e-03 1.611814456800534090e-01 1.462465584660769480e+00
7.677107760679227145e-04 9.491329007366997028e-02 1.121459511287195898e+00
3.559729358444816880e-04 5.527253535944049584e-02 7.907447653880980143e-01
1.589947636101529498e-04 3.205332537611402938e-02 5.593790608747073456e-01
6.779404269397438165e-05 1.859836009136188809e-02 3.795294948432736959e-01
2.659800876303789101e-05 1.085045791876598428e-02 2.496099304739367586e-01
9.372727365859382810e-06 6.466165913292046437e-03 1.643031523956826334e-01
2.954744136942476906e-06 4.105727296029182925e-03 0.000000000000000000e+00
8.555190542913913874e-07 2.892234044521590011e-03 0.000000000000000000e+00
2.390593658064673721e-07 1.869676042404240079e-03 0.000000000000000000e+00
9.637200521302871363e-06 4.618941906449286288e-04 0.000000000000000000e+00
