# t = 018 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.464890446599478563e-02 1.974384002043038950e-03 3.297004507481103575e-02
5.831810633760882434e-02 3.367736322219688945e-03 4.638690189135667719e-02
9.641467181921078988e-02 5.613852916401041761e-03 6.341075928649334004e-02
1.580547048069026461e-01 9.195088221703810391e-03 8.518350722541027931e-02
2.575033021853377346e-01 1.482263469009814129e-02 1.131648474692418666e-01
4.148033246232947224e-01 2.351262354963819939e-02 1.489672023057913852e-01
6.589456508154467596e-01 3.666414542425702056e-02 1.943444757258858124e-01
1.031297152986328403e+00 5.612671880249954504e-02 2.511868227835994949e-01
1.572501212896592060e+00 8.422151130111933670e-02 3.213835603905554339e-01
2.322185861057874945e+00 1.236570713192854387e-01 4.067048523672388005e-01
3.276954212405321698e+00 1.773127624976657546e-01 5.086659177205252735e-01
4.366495124305236786e+00 2.478280311330676999e-01 6.284096155513102522e-01
5.443002736243552242e+00 3.369031098471209074e-01 7.665333664426138283e-01
6.515652026916450623e+00 4.442497924703056600e-01 9.229147296283466417e-01
6.616760748226858446e+00 5.664345536457429109e-01 1.096315352433265389e+00
6.237717467613814293e+00 6.959980887096889335e-01 1.284554198938889780e+00
5.396785505492897705e+00 8.210789368500140961e-01 1.483689707453162754e+00
4.236144138317267327e+00 9.256516825408055427e-01 1.687004767700137409e+00
3.024685192832549774e+00 9.918644566047005728e-01 1.885131009737851748e+00
1.988068310280059148e+00 1.006001649090341399e+00 2.069477984293872641e+00
1.224696390910247068e+00 9.646351640974273334e-01 2.233415572561370244e+00
7.232669496479082749e-01 8.732197810480909483e-01 2.364979888344335812e+00
4.188503209927034177e-01 7.429344996507173393e-01 2.451336587040287451e+00
2.396751865773893431e-01 5.930787608638518060e-01 2.480628498878233668e+00
1.351673799514888086e-01 4.443620949652367091e-01 2.444483808553393533e+00
7.410575626331233901e-02 3.138195813683994917e-01 2.339693417145445764e+00
3.936842033286549331e-02 2.102170865954022527e-01 2.168462051069933061e+00
2.004216476428840807e-02 1.347416516847380619e-01 1.940400055425129500e+00
9.608322184761075233e-03 8.403194757964024819e-02 1.673380317221831559e+00
4.208600857860003361e-03 5.233478100016801526e-02 1.391902735360203591e+00
1.581311875418157193e-03 3.256635592028903070e-02 1.119514716121352116e+00
4.833137141217169730e-04 2.007143436776784307e-02 8.410926262445171941e-01
1.263971665081266933e-04 1.210716505501934111e-02 6.449834117902387698e-01
2.774810143019124800e-05 7.086911583378137022e-03 4.860819056800552151e-01
5.029531370549727724e-06 4.050405107090750308e-03 3.695369105225217443e-01
7.423109323697100031e-07 2.305856584260315267e-03 3.016087012647880039e-01
8.836595191067523714e-08 1.370187410431222786e-03 0.000000000000000000e+00
8.414043824235922939e-09 9.072451689246868387e-04 0.000000000000000000e+00
6.724656415741112340e-10 5.790656321243039910e-04 0.000000000000000000e+00
5.486989111656213509e-06 4.371906540421045535e-04 0.000000000000000000e+00
