# t = 054 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.177915428920428248e-02 3.589284774415097898e-03 3.616085515931274919e-02
5.369887975327499591e-02 6.135393690749712040e-03 5.119869329471828795e-02
8.895821629367980932e-02 1.023287103647211455e-02 7.035218558364891850e-02
1.460612171347182853e-01 1.677181201852482456e-02 9.502275059445945693e-02
2.379297371462377464e-01 2.707028322189616518e-02 1.269428773672050537e-01
3.826206587100106082e-01 4.303108149812040484e-02 1.680284796289922000e-01
6.048650374107801264e-01 6.733725748013130730e-02 2.203587864321994161e-01
9.359657556527044564e-01 1.036519418829200262e-01 2.861736925218117955e-01
1.401526391741288569e+00 1.567323469133279079e-01 3.676540451383736863e-01
2.013733889005996591e+00 2.324494239938360851e-01 4.668129128737134592e-01
2.733906224500771920e+00 3.375909605882548847e-01 5.852926880611358795e-01
3.464976800271073465e+00 4.793103122263960847e-01 7.241005806842540915e-01
4.068771848360442256e+00 6.639711281429218070e-01 8.837431094032697221e-01
4.594250461121334617e+00 8.950449261054567174e-01 1.063832491487859411e+00
4.277077358079087510e+00 1.170266119456107257e+00 1.262832234944376797e+00
3.804390819968578974e+00 1.479215164040567965e+00 1.478012822850231167e+00
3.111228932702434502e+00 1.801829640124246179e+00 1.705261114844301762e+00
2.315149006123043751e+00 2.106105398722202260e+00 1.938078625934988475e+00
1.569259576175360937e+00 2.348405813720622071e+00 2.166375135862905754e+00
9.746019957443036175e-01 2.482163056925261291e+00 2.377730606804491664e+00
5.613686429153537105e-01 2.479352796092245459e+00 2.562578524448498207e+00
3.055237988414967742e-01 2.341942183079028794e+00 2.713993910682491073e+00
1.605235404641793540e-01 2.079938274375861873e+00 2.815738903624085854e+00
8.291333068893569358e-02 1.730540121230677020e+00 2.849028846277868343e+00
4.257641977245581189e-02 1.345734886427213395e+00 2.801556443585156320e+00
2.184852198581350644e-02 9.793452671594639058e-01 2.668024974289325169e+00
1.120819210764825713e-02 6.699039645676992949e-01 2.451437655822418904e+00
5.726443889323491916e-03 4.337209197059740950e-01 2.163681454857000475e+00
2.902834337752424523e-03 2.683019894133485961e-01 1.826206375221630651e+00
1.446158078407016028e-03 1.604172747065023830e-01 1.468914577755417783e+00
6.975871689087020759e-04 9.384714791714668380e-02 1.124502217031648321e+00
3.281444584188628684e-04 5.427097088477473436e-02 7.906823874939414853e-01
1.493727967931779248e-04 3.124687213340647529e-02 5.571889954291581182e-01
6.403728036235408416e-05 1.799775270537949320e-02 3.763118911510733300e-01
2.541102401390503868e-05 1.042255123430944549e-02 2.458145926517975866e-01
9.274045896052974394e-06 6.155072625198469531e-03 1.590641570908784552e-01
3.048675077132624861e-06 3.867070320839860118e-03 0.000000000000000000e+00
9.152193650886499240e-07 2.688191916408918299e-03 0.000000000000000000e+00
2.645398290622565777e-07 1.719868222671993522e-03 0.000000000000000000e+00
9.691357769105518800e-06 4.592005766573928381e-04 0.000000000000000000e+00
