# t = -006 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e              nux
5.912874566794276004e-02 6.367964160989662565e-06 2.820158809197830397e-03
9.258878211729056062e-02 1.005591285463684763e-05 3.411610338057538376e-03
1.434935333706590099e-01 1.535817511800529939e-05 3.894257245566478103e-03
2.216691131828428807e-01 2.288652736537725261e-05 4.301818529710548650e-03
3.413342613213907195e-01 3.327626980672050163e-05 4.595625790652907612e-03
5.221073975608120366e-01 4.706095030017013868e-05 4.723595298007318179e-03
7.913250242686308278e-01 6.438304259702381886e-05 4.637478160752408346e-03
1.186798033128101393e+00 8.515450307421618744e-05 4.337737260773116138e-03
1.744928170353067465e+00 1.087691260477522206e-04 3.899683289457180589e-03
2.509782652841479944e+00 1.336600147940992319e-04 3.542650512557943623e-03
3.501430015458908862e+00 1.568366314786354013e-04 4.137410408114632586e-03
4.721398996000326420e+00 1.741908104059738385e-04 4.907043904791089962e-03
6.103287155600090053e+00 1.833255229824311218e-04 4.450422344483355788e-03
7.742624591455711247e+00 1.821062442397795996e-04 3.454907459130215300e-03
8.515900495269095316e+00 1.694006160802730848e-04 2.333104224777552815e-03
8.637082774940271435e+00 1.451712954489637252e-04 1.381179308561274145e-03
7.571289548553338911e+00 1.141504112285617923e-04 7.243787620112672595e-04
5.295106680010342792e+00 8.223115542847909390e-05 3.399666712412122756e-04
2.724414022356180798e+00 5.394398841421046590e-05 1.445554760691959337e-04
9.739825488307730650e-01 3.181359484728092467e-05 5.597638918267863165e-05
2.519766964518659891e-01 1.651709031063595785e-05 1.999842167086799603e-05
5.190857558802836752e-02 7.612389114184690726e-06 6.991179944038659603e-06
9.014826370404207395e-03 3.135503703348900784e-06 2.722048675793526310e-06
1.393164444701190273e-03 1.168987350219231618e-06 1.155891306721301529e-06
1.986509039537286061e-04 4.015833589283714880e-07 4.934369020387100825e-07
2.649254245986477744e-05 1.337225127342791927e-07 2.080720765505484628e-07
3.298132891463982002e-06 4.649485632576694007e-08 8.517759236134164714e-08
3.819950211823481912e-07 1.785266430522611551e-08 3.262967327480972829e-08
4.168911664160391354e-08 7.811846368116748207e-09 1.199968870241958927e-08
4.430335255399306430e-09 3.938565770035588570e-09 4.311809289303153029e-09
4.380137722521759887e-10 2.265486457067553066e-09 1.623051631814870160e-09
4.580381337547131970e-11 1.407773146768585809e-09 6.360272645155279063e-10
5.682284435221347668e-12 8.948563985608376069e-10 2.943679844057288462e-10
6.439804271939017869e-13 5.655363843543324049e-10 1.488625346529934031e-10
6.561929524461821540e-14 3.441514870516832601e-10 7.942719030719861755e-11
5.762368784192350811e-15 1.991234860315167339e-10 4.328849697678670593e-11
4.239445623877238521e-16 1.117188447822472388e-10 0.000000000000000000e+00
2.560965176211497472e-17 6.912316594620872417e-11 0.000000000000000000e+00
1.314006446805335768e-18 5.822599730471100215e-11 0.000000000000000000e+00
1.291282694003784184e-08 2.545780276006707598e-05 0.000000000000000000e+00
