# t = 032 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.325944994323731113e-02 2.913227181630533100e-03 3.500591811629318040e-02
5.612169955114771486e-02 4.983382817974337312e-03 4.939524706459637315e-02
9.292018845140306849e-02 8.327757338835077919e-03 6.771295990477071980e-02
1.525092328869638025e-01 1.367858294743518402e-02 9.123755025147166353e-02
2.485445662826856195e-01 2.212320989597335238e-02 1.215722961732292051e-01
4.001088096142695893e-01 3.523459179311700523e-02 1.605039147529243038e-01
6.340506687295942578e-01 5.522577795754397140e-02 2.099734896733110590e-01
9.865976032527596917e-01 8.508931176986336831e-02 2.720707252336657112e-01
1.489093166653331579e+00 1.286817814688961115e-01 3.488547029383613496e-01
2.163111880327237113e+00 1.907083083288573788e-01 4.422438245253973998e-01
2.977933648035735903e+00 2.764964953369145051e-01 5.538404928701744501e-01
3.835906312636856885e+00 3.914718212211142356e-01 6.848060959784325608e-01
4.583848344713945977e+00 5.401254500391904356e-01 8.356110935647932392e-01
5.275050222287835489e+00 7.242787972321853562e-01 1.005925087570396004e+00
5.040649938870508606e+00 9.409545603913100908e-01 1.194474382835899240e+00
4.534173207740211708e+00 1.180468731909075419e+00 1.398710059047319154e+00
3.747902469353341370e+00 1.425101832095327703e+00 1.614390401998857749e+00
2.817321447406039070e+00 1.648159899079913115e+00 1.834371619979605628e+00
1.930496408470527170e+00 1.815167118966862114e+00 2.048361600546948047e+00
1.217348322151485585e+00 1.893171583299797733e+00 2.246311190414320702e+00
7.174237312533198185e-01 1.866232833636450650e+00 2.420913419554719503e+00
4.031665238562188169e-01 1.739497244567907996e+00 2.560665123638633300e+00
2.204037878108585646e-01 1.524699707581269381e+00 2.652103382156672406e+00
1.189204356904329796e-01 1.253508243100639907e+00 2.682055250216503595e+00
6.382273967016388605e-02 9.657601518513876382e-01 2.638885184261992922e+00
3.439651890047555616e-02 6.991989301595255002e-01 2.516105320926603994e+00
1.892074356757500464e-02 4.784961360637870476e-01 2.317616705148629386e+00
1.010541633376234143e-02 3.121549675783182320e-01 2.055393876197907144e+00
5.340369452777844056e-03 1.961382477926446877e-01 1.749469268410448253e+00
2.661763854003778434e-03 1.199950562634534146e-01 1.426221156827545355e+00
1.175456254872510320e-03 7.214244617448181685e-02 1.113570143056233475e+00
4.611048479709764177e-04 4.294394657068616172e-02 8.057943748596281264e-01
1.665024228113244306e-04 2.563155708884241532e-02 5.926068131151200902e-01
5.383885166466702792e-05 1.559444403037897782e-02 4.247570643527609491e-01
1.528872206144645850e-05 9.499768441806246549e-03 2.987231882238450265e-01
3.742415820968381588e-06 6.028977090668264163e-03 2.121990024387889751e-01
7.759379513520911388e-07 4.028569552231306763e-03 0.000000000000000000e+00
1.358718473150754923e-07 2.923370734003782456e-03 0.000000000000000000e+00
2.180168895665754154e-08 1.950106231857800382e-03 0.000000000000000000e+00
8.016830998959715489e-06 4.568572471025189683e-04 0.000000000000000000e+00
