# t = -040 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e              nux
5.779202983461446490e-18 1.745814706150274849e-31 9.994722488777050071e-08
5.965473336871358838e-18 2.748289967449312429e-31 7.500371575370091429e-08
5.746623118993886151e-18 4.207911109562154103e-31 5.201179002973516642e-08
5.176734362584224848e-18 6.299883419949399750e-31 3.401801343306474000e-08
4.843269647342778023e-16 9.212448153846475933e-31 2.097236084780985487e-08
2.109102012798449754e-14 1.313950671625947208e-30 1.206545266875739940e-08
2.564800328363479871e-13 1.809003558680042387e-30 6.195839229891807321e-09
2.177712035718313769e-11 2.406407720767173391e-30 2.826468257091717096e-09
8.684633412502952907e-10 3.093385495929500822e-30 1.112400004550207024e-09
4.688006642335957543e-08 3.831328788643056067e-30 3.459729782570306544e-10
5.367512348307524595e-07 4.539089947162167561e-30 5.379582233362011602e-11
3.574783658608644534e-05 5.057048133469992608e-30 1.119925418777763416e-11
9.175264659299798165e-04 5.339300798743556030e-30 3.016850454058582952e-12
8.020218199729296782e-02 5.315957095822383408e-30 6.485946093826200189e-13
4.517454743124045546e-02 4.963961491042150752e-30 9.151379389160173126e-14
5.961160227641143852e-03 4.223870973628385836e-30 8.025446974561317638e-15
2.542849502580803601e-04 3.271484704666653647e-30 2.067069838108264868e-16
6.913805301684704425e-06 2.306796626702629923e-30 3.635662066066396599e-18
1.658026404709122123e-07 1.467999608514059990e-30 8.522798086328004324e-20
3.067196211247340581e-09 8.270820294023041720e-31 1.271989627615837380e-21
4.492634733854747762e-11 3.921721675639276464e-31 9.279561216507680130e-24
5.470709759194622103e-13 1.599619233762982017e-31 3.545571908705157302e-26
5.685862236563217865e-15 5.535685654811728591e-32 2.478435014258729880e-30
5.107735631291209865e-17 1.601132314989383925e-32 1.588940413388525668e-32
4.013732888323345602e-19 3.580828081308564103e-33 2.966502645722839254e-34
2.805459879080101311e-21 6.142894622239653019e-34 7.722572610423545535e-35
1.799590102030488869e-23 8.106624991423166729e-35 8.016861212940353878e-36
1.191502269002366221e-25 8.049139828502889053e-36 1.373614573700324351e-37
8.600337460610352018e-28 5.747813401377112534e-37 2.213499093954172158e-39
6.001310112226541843e-30 2.597818829890012743e-38 4.428615282386637256e-41
3.454635774010738067e-32 7.944437149879854062e-40 1.142579474663865751e-43
1.780281768598042891e-34 1.657134873171515265e-41 1.122693969074891987e-43
8.992899345606502093e-37 2.482856089073663837e-43 1.127974066034451547e-43
4.249046636033285852e-39 3.619509179437734639e-45 1.131164655470113491e-43
2.481238435162660754e-42 4.823166281391847308e-47 1.134080235877896439e-43
7.891340728085981920e-43 6.750982286264079729e-48 1.136035301184527600e-43
1.618633047056424001e-42 6.466426737763312472e-48 0.000000000000000000e+00
3.313215044842907182e-42 6.463046361638882084e-48 0.000000000000000000e+00
6.704988465135336211e-42 6.452411117565201956e-48 0.000000000000000000e+00
2.965201571887759471e-34 1.281501524696265731e-09 0.000000000000000000e+00
