# t = 047 ms, neutrino energy spectrum for the wh07.15.40g model
# nu_e                   anti-nu_e                nux
3.233980038842620280e-02 3.471414069916710799e-03 3.598832898415860876e-02
5.464737177734430018e-02 5.936078025118351857e-03 5.089397669581469108e-02
9.057092963624734094e-02 9.908428189182806947e-03 6.988880181730514063e-02
1.487990820037023432e-01 1.625457877014821820e-02 9.434125806312348983e-02
2.426190693846063673e-01 2.625914936154514351e-02 1.259445564193880374e-01
3.906240918990200872e-01 4.177826621268521806e-02 1.665828662933205306e-01
6.185317258217236658e-01 6.542922355483954400e-02 2.183011028023371103e-01
9.595752131351713565e-01 1.007831560414907818e-01 2.833022797403622617e-01
1.441464822024670633e+00 1.524744889326475339e-01 3.637387923660629352e-01
2.078729010509752229e+00 2.262038155244407434e-01 4.615971386663146325e-01
2.833168252531393705e+00 3.285441749040656778e-01 5.785105211579342210e-01
3.604512302995009687e+00 4.663808379476502841e-01 7.155539240083789165e-01
4.246238027308923080e+00 6.457601066975556803e-01 8.731571323162372611e-01
4.811654452384783731e+00 8.698449804564313270e-01 1.051000188683517411e+00
4.497539688274902581e+00 1.136325268042320369e+00 1.247587353560325241e+00
4.001222092481635073e+00 1.434879035972499439e+00 1.460211765849343424e+00
3.277093264629412417e+00 1.745359066792991687e+00 1.684693121629690982e+00
2.441612396203110880e+00 2.036575702413200073e+00 1.914381208322512684e+00
1.658363091842035564e+00 2.266074299510013823e+00 2.139222648599555132e+00
1.034188868925494997e+00 2.389484550455336809e+00 2.347316562815558783e+00
6.001673581856024065e-01 2.381771744986327377e+00 2.529096934873219293e+00
3.304558868739654875e-01 2.246387863585884936e+00 2.676163516616957505e+00
1.763187746331894845e-01 1.992549037746311980e+00 2.773872483203142725e+00
9.272175739899679581e-02 1.656633112327251967e+00 2.805906513629956578e+00
4.854223686579594438e-02 1.288586753336651292e+00 2.758160177076241837e+00
2.541646829875247871e-02 9.393097287604766921e-01 2.625985465902472615e+00
1.330765354252156502e-02 6.447601000455697173e-01 2.412881927852216002e+00
6.932128120333798556e-03 4.198476962500184984e-01 2.131049722700855131e+00
3.568381047817610792e-03 2.619058109311124261e-01 1.801791354255498856e+00
1.786290984752543672e-03 1.583446901493074377e-01 1.454111595740376517e+00
8.527360852016897677e-04 9.389162945201877386e-02 1.119088734733204360e+00
3.942777976764631374e-04 5.512894179287632090e-02 7.927723727212381277e-01
1.729430785477661925e-04 3.226946006005515510e-02 5.640064950390245579e-01
6.927556401684577714e-05 1.891833334827333624e-02 3.859338591915858485e-01
2.502671249027532617e-05 1.116420626487246194e-02 2.583787153253834235e-01
8.077579704466015959e-06 6.737260860378778762e-03 1.749427914041840892e-01
2.314685868883352479e-06 4.350463315503447746e-03 0.000000000000000000e+00
6.031824814535181478e-07 3.131023960620786181e-03 0.000000000000000000e+00
1.519827649972886075e-07 2.064325495016527002e-03 0.000000000000000000e+00
9.463535237040942956e-06 4.626507550869181731e-04 0.000000000000000000e+00
