# t = 070 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.096574241904482411e-02 3.843629600695295905e-03 3.710734283123100219e-02
5.228186429453363787e-02 6.569246920671760123e-03 5.258838648182053571e-02
8.639901734670402123e-02 1.094583405126313934e-02 7.227278242376496131e-02
1.413746014977597942e-01 1.792133019478002465e-02 9.763051207213112315e-02
2.294474326185743096e-01 2.889545449515602479e-02 1.304571359829315436e-01
3.673182279876439638e-01 4.588587560278621635e-02 1.727330549255674808e-01
5.793708302901723339e-01 7.173196529211599282e-02 2.266152878849899410e-01
9.072460772258464923e-01 1.103198450699986455e-01 2.944242636734071272e-01
1.373633718957067984e+00 1.666893270224574508e-01 3.784342121829556982e-01
1.988484342818074291e+00 2.470755672138138237e-01 4.807420832605596162e-01
2.714344295006205332e+00 3.587159046363466719e-01 6.029678631029723457e-01
3.375767323586675861e+00 5.092970842543256271e-01 7.463288264836768215e-01
3.831318386067658288e+00 7.057383361668725374e-01 9.114096754584903870e-01
4.132583308826725421e+00 9.518274659347623068e-01 1.097842746618967746e+00
4.131947322969503844e+00 1.245847629368795006e+00 1.304121335306566154e+00
3.798270625939912826e+00 1.577474421469848176e+00 1.527559863391815043e+00
3.192860193524241108e+00 1.925901459315789932e+00 1.764175844535154303e+00
2.450376738545371413e+00 2.257956300245132830e+00 2.007634155910601237e+00
1.716295080564386399e+00 2.528584018719949977e+00 2.247618624751136718e+00
1.099943542798917706e+00 2.688944013854720261e+00 2.470614619044928073e+00
6.500195617406564486e-01 2.704673601667774374e+00 2.666231331836550034e+00
3.593575761019104919e-01 2.569644384564860662e+00 2.828552451117610556e+00
1.897731468072337280e-01 2.297772741976951583e+00 2.940040290530745448e+00
9.756595509752037654e-02 1.926146015934360634e+00 2.981028263862343763e+00
4.941525752337032340e-02 1.509370585976305801e+00 2.938083841134619956e+00
2.485245835192293265e-02 1.106295419448672268e+00 2.804788208102822811e+00
1.242464893051231471e-02 7.610633906397097359e-01 2.583245974357838648e+00
6.179870393403145631e-03 4.942558007362051198e-01 2.284796639788769124e+00
3.040371420177041210e-03 3.054960000368581730e-01 1.931052790062100177e+00
1.477391201319209124e-03 1.816356096096996831e-01 1.553389331046310717e+00
7.097097254556530063e-04 1.052987628140992088e-01 1.186890139141420830e+00
3.391109445352806073e-04 6.016237970166590787e-02 8.305425292146234595e-01
1.585696523957266942e-04 3.402995178944085569e-02 5.806381689002612090e-01
7.180962447396695202e-05 1.918708320791826655e-02 3.874744849195535523e-01
3.120002832096215880e-05 1.084052240546351693e-02 2.490746160804100107e-01
1.287135788871394357e-05 6.227212767630219137e-03 1.576148787434005494e-01
5.051998856854293880e-06 3.778114155530079652e-03 0.000000000000000000e+00
1.944088361969323511e-06 2.476836542146166557e-03 0.000000000000000000e+00
7.149104669911956092e-07 1.423972814033406132e-03 0.000000000000000000e+00
1.040357168220245209e-05 4.705326484152842618e-04 0.000000000000000000e+00
