# t = -015 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e              nux
5.353913198578937049e-02 2.269692287233208209e-06 4.749474073792315089e-05
8.413021311567453475e-02 3.595610281866918589e-06 5.583990518206362064e-05
1.313528627845533259e-01 5.508666965624187687e-06 6.343598166100997203e-05
2.050960014103580253e-01 8.238205150473357167e-06 7.035015390031361089e-05
3.190436973480146321e-01 1.202355362971899014e-05 7.613462295080300241e-05
4.921957097699788952e-01 1.707395988709799599e-05 8.021096773391869501e-05
7.494055005151422089e-01 2.343826968817667568e-05 8.147331888561532573e-05
1.119729857060508316e+00 3.109220660043996207e-05 7.998662882585335678e-05
1.622393528989521494e+00 3.982846961450747016e-05 7.609114701018916520e-05
2.248469386214476895e+00 4.908972846424064734e-05 7.003724344131194315e-05
2.950320713791744875e+00 5.777344480085948574e-05 6.202006804179009008e-05
4.399767603617621425e+00 6.425911987862279850e-05 5.224728327702727926e-05
4.202671568049406225e+00 6.770731728667504963e-05 4.219871682811522884e-05
4.310834348378612013e+00 6.732714668267777806e-05 3.266220797851068840e-05
3.848891771560051023e+00 6.270431910444473314e-05 2.412165459769189988e-05
2.822722479003017870e+00 5.368449808045061870e-05 1.669892327446857169e-05
1.647936618419074462e+00 4.209315573682661095e-05 1.082802735620680484e-05
7.509892352880747080e-01 3.019366860315775988e-05 6.611643814571426480e-06
2.559272715009978105e-01 1.969019926392851787e-05 3.810017996068083241e-06
6.598331437098285679e-02 1.151264601338584600e-05 2.062415776677319300e-06
1.397088192330033125e-02 5.882481318670185385e-06 1.029958163220517245e-06
2.664599326653652178e-03 2.648403351542052280e-06 4.809907014136139929e-07
4.947459447727136153e-04 1.074861590790820746e-06 2.115931612842115914e-07
9.458040471360188426e-05 3.968702530080510986e-07 8.855151364500423847e-08
1.922341118657448672e-05 1.391587683188326389e-07 3.570491383969046514e-08
4.121453007587406919e-06 5.201792120435630800e-08 1.451819697289591643e-08
9.405754447685571571e-07 2.332561056160058009e-08 6.233981238888898489e-09
2.223494283312748161e-07 1.268214003917688579e-08 2.882567885826162655e-09
5.239487137384815788e-08 7.716969410528592127e-09 1.421322505993877670e-09
1.167052042295984884e-08 4.852646316904646239e-09 7.291705180046982075e-10
2.233432976668567150e-09 3.004599847015528316e-09 3.784434488791650502e-10
3.549296088356520430e-10 1.787594021431654784e-09 1.872917916250257748e-10
4.922705935771911184e-11 1.010947085531576299e-09 9.467635223525629626e-11
5.952736374956648007e-12 5.426875571199888234e-10 4.613018311678324806e-11
6.221278041671289672e-13 2.758849486239341367e-10 2.155255061493550996e-11
5.547822420093597881e-14 1.330759519059836696e-10 9.632657423946375464e-12
4.155931773148075013e-15 6.139457967277148710e-11 0.000000000000000000e+00
2.570664762641056688e-16 2.879791609496073080e-11 0.000000000000000000e+00
1.362626316308990552e-17 1.867293478455678316e-11 0.000000000000000000e+00
4.386808833748821860e-09 4.224956903767697450e-07 0.000000000000000000e+00
