# t = 012 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.627268591581118279e-02 1.511491666466135975e-03 3.082264490400482906e-02
6.120286570816872024e-02 2.574825460928015577e-03 4.323800397180516814e-02
1.014536711458468993e-01 4.279350486694608567e-03 5.885619685371461240e-02
1.671241229736959710e-01 6.981532450107893160e-03 7.874219467517193372e-02
2.736729950433031688e-01 1.119717421531567572e-02 1.042003292360344363e-01
4.442590756448269174e-01 1.764718959330053086e-02 1.366751193581261514e-01
7.143061753183075346e-01 2.729808510756311438e-02 1.777563819271654744e-01
1.135937684916911383e+00 4.137985661121982434e-02 2.291723749670170895e-01
1.768568252921136175e+00 6.134535322013465880e-02 2.927102195700254095e-01
2.679742745491644040e+00 8.873207610240327337e-02 3.701243890320506380e-01
3.919630465554095000e+00 1.249209564173405923e-01 4.630435509694944551e-01
5.627569347608733175e+00 1.707684514715946678e-01 5.728847688154677931e-01
6.968484573697228512e+00 2.261010552285752928e-01 7.007346341064280004e-01
8.271998215497930573e+00 2.891073242728697257e-01 8.471427584537021271e-01
9.169955553872153331e+00 3.558406054494136495e-01 1.011917690269179548e+00
9.261799595269893715e+00 4.200929769687806736e-01 1.193976054690644162e+00
8.487086199407617215e+00 4.738659292141074175e-01 1.390983091787465264e+00
7.062824126095874178e+00 5.087821412047456304e-01 1.598493649278516671e+00
5.357971961480082257e+00 5.188807073561845229e-01 1.809441866920722175e+00
3.736812872844327504e+00 5.028176226692655515e-01 2.014505859240397712e+00
2.433312016710056813e+00 4.624362357944160062e-01 2.204944012361731875e+00
1.508015715602619045e+00 4.024490597360371180e-01 2.371822452139848103e+00
9.056206248289331295e-01 3.311721927435590240e-01 2.501247915421462853e+00
5.315054111029643424e-01 2.575260940664145237e-01 2.578190674388730397e+00
3.050649466607491811e-01 1.893488227873672547e-01 2.589181358321634097e+00
1.705480440256744723e-01 1.319786426135185764e-01 2.526190854430562016e+00
9.231677076836020124e-02 8.769866704661224976e-02 2.388471033397152610e+00
4.786075153234461976e-02 5.627195886487129650e-02 2.182596254918951928e+00
2.322297023267077057e-02 3.561070475561340515e-02 1.923233547041959923e+00
1.015939250008955803e-02 2.239030489849676980e-02 1.634504617379452185e+00
3.760208926570622005e-03 1.387203911372664362e-02 1.341610909999702672e+00
1.146234955865885891e-03 8.397291897731723465e-03 1.027900133461950416e+00
2.969162592487295136e-04 4.926954740798263760e-03 8.045823295238699879e-01
6.401141239855560655e-05 2.815642879512790867e-03 6.199861345102841703e-01
1.129190223354382924e-05 1.585579294626015363e-03 4.830541074199902751e-01
1.607254699062388154e-06 8.944208695116351564e-04 4.067748870879087097e-01
1.825199599093900365e-07 5.277151490893220494e-04 0.000000000000000000e+00
1.632370563116082996e-08 3.459521760406700621e-04 0.000000000000000000e+00
1.195173601339813627e-09 2.154529749251966268e-04 0.000000000000000000e+00
4.246041779554039722e-06 4.143822235435934984e-04 0.000000000000000000e+00
