# t = 069 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.103544513422929613e-02 3.827029612000706644e-03 3.705845222206132633e-02
5.241097274779388249e-02 6.542691877768078493e-03 5.252104305882807078e-02
8.662666191534959537e-02 1.090408144591830004e-02 7.217521297075503439e-02
1.417729743017128452e-01 1.785700314683925580e-02 9.749150530088780686e-02
2.301431776029854159e-01 2.879841106457156977e-02 1.302652266281037474e-01
3.685112885154003259e-01 4.574310791148057664e-02 1.724757623393939621e-01
5.813634415630495322e-01 7.152770592143058159e-02 2.262807681011638483e-01
9.104215352157303265e-01 1.100282052580862507e-01 2.939938263866574419e-01
1.378723323270763190e+00 1.662762707882663726e-01 3.778902783505146967e-01
1.996599629737610071e+00 2.464987334063121760e-01 4.800723905800553526e-01
2.726822061458223700e+00 3.579185908112256786e-01 6.021743350175324805e-01
3.391235394835959926e+00 5.082039326842728855e-01 7.454093622078140635e-01
3.844751229670304582e+00 7.042804778782046915e-01 9.103794671862608379e-01
4.143510554855018846e+00 9.498711859175202887e-01 1.096732407032098067e+00
4.139037120770392875e+00 1.243254607052687755e+00 1.302980097014704297e+00
3.801998839894213056e+00 1.574089624049013425e+00 1.526458407174375642e+00
3.193077553712404093e+00 1.921568670486302421e+00 1.763210456790078151e+00
2.447845223423887884e+00 2.252550585019037932e+00 2.006930344485610807e+00
1.712236870743968575e+00 2.522049542365270902e+00 2.247316209729728342e+00
1.095542333305802973e+00 2.681334657466073690e+00 2.470820948498781977e+00
6.461110344283675921e-01 2.696221755618629423e+00 2.667009931707754244e+00
3.562578736868413642e-01 2.560793315522182478e+00 2.829993729851428608e+00
1.873970303648873348e-01 2.288993902905962496e+00 2.942172780782887020e+00
9.524900975465937225e-02 1.917912768159262260e+00 2.983770903244784112e+00
4.781990868259950594e-02 1.502048656173593288e+00 2.941252598203707880e+00
2.382549726667979040e-02 1.100079792476110763e+00 2.808121681386268609e+00
1.179034510483289305e-02 7.559882877026667947e-01 2.586467090666939583e+00
5.801364487694538226e-03 4.902441688685095222e-01 2.287681271250717963e+00
2.823100561477388717e-03 3.024107175594951125e-01 1.933463683788557042e+00
1.358385905034249297e-03 1.793187310685482871e-01 1.555255985034077915e+00
6.554905850993990530e-04 1.033860298253666543e-01 1.188185833365823285e+00
3.189051562681079069e-04 5.822419350192917231e-02 8.312661991905515579e-01
1.505851523496571775e-04 3.256455195553975557e-02 5.808897464223203855e-01
6.826331828714832641e-05 1.817519191328442751e-02 3.873399203040574501e-01
2.973079618861735674e-05 1.017910055529848250e-02 2.486663881580852831e-01
1.227790146647546821e-05 5.797913569641690613e-03 1.570509039403741591e-01
4.865815792518736284e-06 3.494119872789979136e-03 0.000000000000000000e+00
1.929674721451376254e-06 2.281153050826817321e-03 0.000000000000000000e+00
7.180905908545323812e-07 1.314773782356154237e-03 0.000000000000000000e+00
1.034707869153943240e-05 4.693293927444905128e-04 0.000000000000000000e+00
