# t = -013 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e              nux
5.828361929065217079e-02 2.234881975853076027e-06 5.563423458131697331e-05
9.168585785867242044e-02 3.539176795126483332e-06 6.538989819422756525e-05
1.433200627164606389e-01 5.419538236802468587e-06 7.426942859237581275e-05
2.241402042117015547e-01 8.100669364201219921e-06 8.238260504741066342e-05
3.495836162149695836e-01 1.181617766472112904e-05 8.922667404299848874e-05
5.416880716822767283e-01 1.676839799500470598e-05 9.413352117737395076e-05
8.305611306986749875e-01 2.300539642793969736e-05 9.588038172170536191e-05
1.253851991881100858e+00 3.050100972035659110e-05 9.445936854800729594e-05
1.842617099400738034e+00 3.904808359645714532e-05 9.009199711347290007e-05
2.601294258160031792e+00 4.809523083446882823e-05 8.308452669820071178e-05
3.488329025673910788e+00 5.655988218521986561e-05 7.365652401065931427e-05
4.757386227431912751e+00 6.287360136688733712e-05 6.208067708411535272e-05
5.238471081193439183e+00 6.620791478990276210e-05 5.008195521091512341e-05
5.448623152308047501e+00 6.579379839070448538e-05 3.865877651848220026e-05
5.099094357477865991e+00 6.122694079707800450e-05 2.842909371129946088e-05
3.955121473818037359e+00 5.238700815752649184e-05 1.962076912461100346e-05
2.418299476394072833e+00 4.105131887468967789e-05 1.269279693250948877e-05
1.139319392908782147e+00 2.942351798857361668e-05 7.725687145690936477e-06
3.992800420935189720e-01 1.916592898840399520e-05 4.431791951283248444e-06
1.041721957224190642e-01 1.118541306512280532e-05 2.386915555384530258e-06
2.168392351870638418e-02 5.700494762750170649e-06 1.189489446577794043e-06
3.893622609837041337e-03 2.559875067250737974e-06 5.555854829917733911e-07
6.464564909931823150e-04 1.018763605210875945e-06 2.449135390644688561e-07
1.058075192012242487e-04 3.636592448550852387e-07 1.025654215442139148e-07
1.770075590797560094e-05 1.199088766586736966e-07 4.102371361916936671e-08
3.350435724951547208e-06 4.110062165296001742e-08 1.626725202847691378e-08
6.823937954291866842e-07 1.673782367835714926e-08 6.715024224307753165e-09
1.489595648679571874e-07 8.774422960134212881e-09 2.990306224921306402e-09
3.375081916740511758e-08 5.464269890829057814e-09 1.445972997008382663e-09
7.365285900483729685e-09 3.623511484026510503e-09 7.448849445551807520e-10
1.405580013975552718e-09 2.392507089786808368e-09 3.962425101711128381e-10
2.255417874904414677e-10 1.522862169548787866e-09 2.040988547330409666e-10
3.151417998470144211e-11 9.210361073101090436e-10 1.085516629041525917e-10
3.836005367531436419e-12 5.281747209130552800e-10 5.606724094464227873e-11
4.037074523871127342e-13 2.863784659685088501e-10 2.790485882568690689e-11
3.625827816631767371e-14 1.470927841575959600e-10 1.332832516782927553e-11
2.733610518217972845e-15 7.226357835810292920e-11 0.000000000000000000e+00
1.700096428175759164e-16 3.651641759893472733e-11 0.000000000000000000e+00
9.051594936149353144e-18 2.576910637361863480e-11 0.000000000000000000e+00
4.363527723263619500e-09 5.039327796838887461e-07 0.000000000000000000e+00
