# t = 006 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.654276159058616330e-02 9.483942614723574107e-04 2.673567079964462093e-02
6.147599883872092302e-02 1.616222936911983817e-03 3.739444029289769322e-02
1.016643803207505081e-01 2.686525418450476030e-03 5.068437599062126236e-02
1.672240539994812314e-01 4.381648193481232911e-03 6.749010582255619839e-02
2.737194000906202906e-01 7.021853005836264407e-03 8.887577290984301215e-02
4.451451903885181305e-01 1.105275005213314336e-02 1.159983395076486373e-01
7.192560942450579864e-01 1.706817559218829980e-02 1.501171991057947963e-01
1.154135918652975823e+00 2.581208076697398546e-02 1.925825820179612180e-01
1.823117532133866403e+00 3.813792965278819252e-02 2.447865610844998652e-01
2.827861588449551267e+00 5.489936805190288177e-02 3.080762886284766355e-01
4.287573096776727155e+00 7.676328578853484907e-02 3.836902481253182673e-01
6.538933119872662125e+00 1.039327247575081575e-01 4.726741563720118222e-01
8.759706052844927981e+00 1.358129552250122163e-01 5.757965115397590816e-01
1.136705312934118695e+01 1.706487911680798220e-01 6.933634871830820501e-01
1.386039581249206698e+01 2.052997912053978191e-01 8.250472861149781290e-01
1.540744099314692228e+01 2.353529818946146768e-01 9.697473761320576369e-01
1.543071126841922869e+01 2.558127000217085834e-01 1.125238067883105542e+00
1.395304657523427316e+01 2.625635903571679197e-01 1.287352233635589371e+00
1.144600686385098065e+01 2.541950907472311783e-01 1.449813564111894104e+00
8.601996487094991650e+00 2.322186230637218463e-01 1.606183612279329154e+00
5.996705356127722375e+00 1.996074294661973059e-01 1.750937353670585450e+00
3.904182315008687176e+00 1.614261890653140019e-01 1.875232506079372863e+00
2.408582640096474048e+00 1.231695049624075555e-01 1.968033592672565169e+00
1.406428876735307920e+00 8.906416341506477596e-02 2.017333010973461072e+00
7.777643376227069139e-01 6.145632363092689426e-02 2.013147482125766885e+00
4.065144257750311074e-01 4.098475998511243168e-02 1.950044904326167394e+00
1.913956040395575764e-01 2.681155780054949450e-02 1.828320509835820173e+00
8.356497208599363014e-02 1.714119530297606581e-02 1.654414562708587777e+00
3.254373961232023826e-02 1.061256519820056622e-02 1.440938784554374852e+00
1.084651895344067828e-02 6.330963288029668040e-03 1.206514807614808671e+00
2.919557615566709726e-03 3.644285748784336330e-03 9.724926156203463901e-01
6.062625784196568881e-04 2.037253309895839179e-03 7.322149114959215499e-01
1.023409660166305383e-04 1.109952545988544511e-03 5.657515556864703976e-01
1.393028584001006841e-05 5.903565531207226151e-04 4.346615857871329869e-01
1.521174275759723231e-06 3.062733313062734040e-04 3.474495555184284323e-01
1.331602771186754386e-07 1.556168187926609196e-04 3.224387858032248255e-01
9.365675130875302138e-09 7.965102258490936609e-05 0.000000000000000000e+00
5.271712017432575194e-10 4.436068480754311240e-05 0.000000000000000000e+00
2.419159454405905365e-11 2.534456766052810089e-05 0.000000000000000000e+00
2.655233770276457476e-06 3.604355237097954068e-04 0.000000000000000000e+00
