# t = 053 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.226878572951388802e-02 3.581727883921411587e-03 3.644114101992992905e-02
5.453676504647669843e-02 6.133647443155682173e-03 5.158378173648890674e-02
9.024843925229709962e-02 1.024204075222069805e-02 7.079888840641798686e-02
1.479100821902266383e-01 1.680819671017399347e-02 9.551292662398590261e-02
2.404963585635346013e-01 2.716505029086221587e-02 1.274737756111177234e-01
3.854910325782063274e-01 4.323728504324013400e-02 1.686078751091436290e-01
6.086099317392914543e-01 6.773591171729730076e-02 2.210217370847345764e-01
9.509575223469358685e-01 1.043561260490134118e-01 2.869815436767480521e-01
1.440507719511466611e+00 1.578683053398405867e-01 3.687419916593179803e-01
2.094295784773001934e+00 2.341409532220953271e-01 4.684171672926433216e-01
2.881793237353682091e+00 3.399067416635435102e-01 5.877840608788893473e-01
3.575103430791199965e+00 4.821884206456822919e-01 7.280264271925280806e-01
3.960480133130297897e+00 6.671215016782419127e-01 8.899400136516849580e-01
4.197177303062076703e+00 8.978319420283437102e-01 1.073357212578263775e+00
4.131254730914919016e+00 1.171555661748027610e+00 1.277012026766457087e+00
3.736991479105791658e+00 1.477526471268985508e+00 1.498486784196593646e+00
3.084614529307358133e+00 1.795337534860019124e+00 1.734072517044355832e+00
2.321296325082660594e+00 2.092878701647304496e+00 1.977700389972027128e+00
1.593647206061640009e+00 2.326502372388928208e+00 2.219289671159236921e+00
1.002127086350245833e+00 2.450028715111799205e+00 2.445444917016279973e+00
5.827980297157209222e-01 2.437544974048642565e+00 2.645692452533235262e+00
3.185049834921977463e-01 2.294275476031696570e+00 2.814054962467465337e+00
1.669148445087043908e-01 2.029856990401512462e+00 2.933115294796222017e+00
8.542299508973609512e-02 1.682102888506281202e+00 2.982365216666276631e+00
4.309181817904250006e-02 1.302457584448576400e+00 2.947327494079132304e+00
2.163136605657966713e-02 9.433293128168380726e-01 2.820744698842253761e+00
1.079038742421338515e-02 6.417188125177799574e-01 2.604014730834406599e+00
5.349523933407425262e-03 4.127304420057359424e-01 2.308139293007936743e+00
2.619178628398310168e-03 2.532352280729530114e-01 1.954827941220107057e+00
1.282046897278305052e-03 1.498828536898506036e-01 1.575888754832988958e+00
6.126666595260933440e-04 8.661905405787093115e-02 1.207026143538001861e+00
2.894899118932321822e-04 4.931514529936646685e-02 8.472453905343879654e-01
1.335292091775765883e-04 2.787419989389538708e-02 5.945622774028944679e-01
5.925276716558647018e-05 1.569386840584501008e-02 3.987202396137148885e-01
2.469717743659591768e-05 8.864191924158562608e-03 2.579206332797386314e-01
9.597486554072805177e-06 5.104614629289813341e-03 1.645109919393877018e-01
3.440930279373835233e-06 3.113658534328609187e-03 0.000000000000000000e+00
1.174636190344613381e-06 2.070406691882250173e-03 0.000000000000000000e+00
3.822811923259762246e-07 1.236272100344074695e-03 0.000000000000000000e+00
9.689109665949434069e-06 4.638929015962253407e-04 0.000000000000000000e+00
