# t = 074 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.060260386189722626e-02 3.874192061066256913e-03 3.718987191356288441e-02
5.165347827909592959e-02 6.618724491943023085e-03 5.271939712894722907e-02
8.532379211697878330e-02 1.102231173198035472e-02 7.247053960562734043e-02
1.395491689164547189e-01 1.803531955169059703e-02 9.792382795328039014e-02
2.263829050800212628e-01 2.905993994739768105e-02 1.308818251096061924e-01
3.622914600250899397e-01 4.611706166266903162e-02 1.733344009019119336e-01
5.712779641784220264e-01 7.205085067680166988e-02 2.274480059127723663e-01
8.950547656467217061e-01 1.107548766207781532e-01 2.955495519637994506e-01
1.355082561930574414e+00 1.672808101659604973e-01 3.799164306778248235e-01
1.960235998549154424e+00 2.478839956743272843e-01 4.826424261826637307e-01
2.672892482211265186e+00 3.598374833551071239e-01 6.053137937764296872e-01
3.327221609092513965e+00 5.108862472564442703e-01 7.491638617318541193e-01
3.791701214288925037e+00 7.079722982268129572e-01 9.147338476696150744e-01
4.103834963189820328e+00 9.551099625678209915e-01 1.101625069839639703e+00
4.116973598054514127e+00 1.250677062323781286e+00 1.308293675357615315e+00
3.795316553658506731e+00 1.584494475466645458e+00 1.532016432893801960e+00
3.200847780653748309e+00 1.935875350097784109e+00 1.768780557231676820e+00
2.465222716656747526e+00 2.271680265605064974e+00 2.012232641814526435e+00
1.732959521262090519e+00 2.546720252547484797e+00 2.252044194942100397e+00
1.114447633961623607e+00 2.711695704001889418e+00 2.474684364938235959e+00
6.604580438503848683e-01 2.731331670548087232e+00 2.669773167876747344e+00
3.657753992868456594e-01 2.598570028867517312e+00 2.831441566258822817e+00
1.929550535739942008e-01 2.327144710569698738e+00 2.942125663273464031e+00
9.886758748695646803e-02 1.953821854797520796e+00 2.982367417554825817e+00
4.995005597582510837e-02 1.533410980035342375e+00 2.938779291947420269e+00
2.507154080668271348e-02 1.125508108313079569e+00 2.804988530629201282e+00
1.252363288191699585e-02 7.751927921808692279e-01 2.583098207738064644e+00
6.235352696909239947e-03 5.038514249417727076e-01 2.284392223611964035e+00
3.078247331505049641e-03 3.115305456197806633e-01 1.930417404164695316e+00
1.503008165515799539e-03 1.851704775872341224e-01 1.552503344309130506e+00
7.270583764605384599e-04 1.071052366865873351e-01 1.185741413875903927e+00
3.486296419389807444e-04 6.090759730623294260e-02 8.292117938545924272e-01
1.633314271684809655e-04 3.434094742406897799e-02 5.792346583892113987e-01
7.404882159735230577e-05 1.931121433280365285e-02 3.861337972357954951e-01
3.216897252600810388e-05 1.089833311026821953e-02 2.479259184898883195e-01
1.317427146584472007e-05 6.258565338310233782e-03 1.567349934277103563e-01
5.164239107212795980e-06 3.798556239541892206e-03 0.000000000000000000e+00
2.010702797779910199e-06 2.492396410368959755e-03 0.000000000000000000e+00
7.449128253112271109e-07 1.439341321143690648e-03 0.000000000000000000e+00
1.048084198189011836e-05 4.707731099158170762e-04 0.000000000000000000e+00
