# t = 034 ms, neutrino energy spectrum for the wh07.15.40g.shen model
# nu_e                   anti-nu_e                nux
3.375184098032759511e-02 3.018133300602933704e-03 3.526372182452990750e-02
5.707984463629234284e-02 5.168096083284111873e-03 4.978820233645331328e-02
9.460150290998213529e-02 8.635352493529990098e-03 6.818263693007180215e-02
1.553971548621966847e-01 1.418147780690199970e-02 9.179068965558952187e-02
2.533017091155336797e-01 2.293239500552296528e-02 1.222381770127290018e-01
4.073624215478904298e-01 3.651196425167468201e-02 1.613413404144462826e-01
6.455067621015770918e-01 5.720084104375007528e-02 2.110966026058382905e-01
1.008192178268635164e+00 8.808300184119197129e-02 2.736675578545387788e-01
1.527664438308834916e+00 1.331092755242574421e-01 3.512431341806043772e-01
2.225159253745315979e+00 1.970486919847176666e-01 4.459193238775495116e-01
3.080735447706377084e+00 2.852587710474269178e-01 5.595444970274894292e-01
3.991708774400324788e+00 4.031315216703101334e-01 6.935972536676370259e-01
4.394627555935243457e+00 5.550438597730812385e-01 8.489076208627445164e-01
4.634894259587810872e+00 7.425942251802261085e-01 1.025710461908940996e+00
4.551037397131561413e+00 9.624703267882767088e-01 1.223196261301213728e+00
4.094553814633384192e+00 1.204605619654764759e+00 1.439452463113812808e+00
3.357812557854551905e+00 1.450988019509769966e+00 1.671246766793251570e+00
2.502452727680324340e+00 1.674490999970752236e+00 1.912977426682052284e+00
1.700373976642971741e+00 1.840942180188921418e+00 2.155161151088265115e+00
1.061523262434798331e+00 1.917309924881260397e+00 2.385034408359878011e+00
6.174808344073834387e-01 1.887266907887912737e+00 2.591731397979162299e+00
3.413175515588847131e-01 1.756303276795519119e+00 2.767642473897399036e+00
1.831597682777433012e-01 1.536627318181232882e+00 2.897073962215545695e+00
9.750232724790178218e-02 1.260098588844758005e+00 2.962272517215136958e+00
5.170020082396257349e-02 9.670207804566679499e-01 2.945760230082305142e+00
2.743534483512359914e-02 6.959599688304489717e-01 2.838105981181432647e+00
1.456851978332370651e-02 4.722535572282394734e-01 2.639437489253652735e+00
7.725095388888002061e-03 3.045905895972583211e-01 2.359611289672862711e+00
4.046958964808597403e-03 1.886922351710043078e-01 2.019491139267153290e+00
2.066386330446110930e-03 1.136396886562296843e-01 1.649921753773357480e+00
1.008214295333076252e-03 6.733034049366559692e-02 1.285555888797374369e+00
4.738555238455630331e-04 3.961311877740136822e-02 9.223201846838051665e-01
2.119982510877548075e-04 2.328942463821672554e-02 6.650616946097730464e-01
8.717102839797946634e-05 1.374256203650039629e-02 4.610620059961902939e-01
3.214754702573194479e-05 8.180624860643342239e-03 3.112057988234349093e-01
1.053698983105548589e-05 4.995052796402382235e-03 2.114645540928431489e-01
3.037576200412957784e-06 3.274545254588253924e-03 0.000000000000000000e+00
7.712503033618069088e-07 2.381719360930905412e-03 0.000000000000000000e+00
1.868837790945786270e-07 1.575385938447369620e-03 0.000000000000000000e+00
8.243525097259163939e-06 4.577770722312196269e-04 0.000000000000000000e+00
