# t = 004 ms, neutrino energy spectrum for the wh07.12.40g model
# nu_e                   anti-nu_e                nux
3.645377131083984978e-02 4.985565768459294641e-04 2.561483941064107359e-02
6.116773898061075160e-02 8.449589247784518786e-04 3.585251241884455931e-02
1.011730847861251198e-01 1.395248871554223081e-03 4.867800811139599143e-02
1.661373933403385295e-01 2.256423889307586361e-03 6.493287987296351982e-02
2.714951660873047845e-01 3.580507254751415409e-03 8.565660635305538673e-02
4.414021193060568282e-01 5.572527868328481897e-03 1.119660720950081401e-01
7.125422962400433935e-01 8.493745927627400702e-03 1.450573980114952255e-01
1.140893872188137870e+00 1.265206585063152582e-02 1.861774115289206721e-01
1.798608729491431024e+00 1.836872538522412238e-02 2.365479210584140179e-01
2.786014677681350804e+00 2.591406483085101006e-02 2.972583358298113709e-01
4.213403262829878315e+00 3.541385186168330423e-02 3.691649476631615467e-01
6.180203694071819243e+00 4.673601960897412477e-02 4.528145662151930595e-01
8.727373740057059237e+00 5.937659893467686634e-02 5.482779952075578223e-01
1.188464090822743557e+01 7.235370731552752399e-02 6.550372176247281075e-01
1.483902889562918226e+01 8.419088810863636918e-02 7.716450460896093766e-01
1.712876199184042036e+01 9.306450392404098937e-02 8.955899573490491150e-01
1.800099661680716423e+01 9.728993895644769130e-02 1.022866357355137312e+00
1.701301319499607345e+01 9.612509408925455634e-02 1.147846613966779783e+00
1.444204377938240746e+01 9.001781233910211011e-02 1.264665882127288921e+00
1.103250735304926522e+01 7.964617605585593008e-02 1.368440477983206893e+00
7.625861422306608794e+00 6.638921442247273930e-02 1.452545417488931623e+00
4.805598051288826333e+00 5.219138298995813080e-02 1.509782325292470251e+00
2.767505679234003590e+00 3.876499370841020309e-02 1.533241319210572495e+00
1.466596622498052893e+00 2.731442189605680707e-02 1.517576339784787232e+00
6.781367002498877028e-01 1.832922883854922955e-02 1.460578502057862993e+00
2.845139201397129947e-01 1.163004396214110600e-02 1.363243564438465949e+00
1.057161209320251483e-01 6.908794099177890079e-03 1.229109114190187313e+00
3.364672708614414864e-02 3.825200239831581198e-03 1.067359149350107117e+00
9.132484331673847849e-03 1.983783078504872989e-03 8.932580361537185709e-01
2.094249166613443812e-03 9.667639542622553017e-04 7.227615998341341275e-01
3.799379750738770601e-04 4.425174610136776098e-04 5.668447240969165524e-01
5.063534222989144471e-05 1.899600196616498351e-04 4.186332818340647854e-01
5.477449012507715551e-06 7.630760531590692250e-05 3.163972209046098660e-01
4.813539589125506447e-07 2.876838686771630488e-05 2.383482505876321211e-01
3.444888124265165732e-08 1.021110920668951287e-05 1.885672937908020874e-01
2.017337655289426755e-09 3.431026190039005214e-06 1.770117460466279768e-01
9.733664976959407654e-11 1.109742237712623163e-06 0.000000000000000000e+00
3.877905268629839776e-12 3.671219405959632405e-07 0.000000000000000000e+00
1.291845976070615709e-13 1.352133695201576088e-07 0.000000000000000000e+00
1.384887091193173002e-06 3.369415345513061041e-04 0.000000000000000000e+00
