# t = 046 ms, neutrino energy spectrum for the wh07.12.40g model
# nu_e                   anti-nu_e                nux
2.908295391680884232e-02 2.896103384132008018e-03 3.391021303310878809e-02
4.908672631491384220e-02 4.954146059159641145e-03 4.791249492279909400e-02
8.131319515040662249e-02 8.281183715677689974e-03 6.580472799486447588e-02
1.335245298402495395e-01 1.360755714510773068e-02 8.883350330117410765e-02
2.175433729478038203e-01 2.202339237984646952e-02 1.185980554339202686e-01
3.501470337607661687e-01 3.510881453959233817e-02 1.568719827088091712e-01
5.541774226924004454e-01 5.509983667179642330e-02 2.055841208616285276e-01
8.577149887255927085e-01 8.505564935203181742e-02 2.667684592937612509e-01
1.285950199775819591e+00 1.289636290414806208e-01 3.424429916884317859e-01
1.849907218967403510e+00 1.917541506903082393e-01 4.344463131144861712e-01
2.517079974113017649e+00 2.791402896344361007e-01 5.443202027966809187e-01
3.197241187424102460e+00 3.971378245423948239e-01 6.730595725329565626e-01
3.755516166224188712e+00 5.510830686684894397e-01 8.210614872339551118e-01
4.189561944787140391e+00 7.438566911808076609e-01 9.878059561000330779e-01
3.980224456433021807e+00 9.736206123013031455e-01 1.171701826513071198e+00
3.537862579941053021e+00 1.231700109378871089e+00 1.370152365227740754e+00
2.889648327537036820e+00 1.500972208722473500e+00 1.579078933568340393e+00
2.147756723814417956e+00 1.754298899559517455e+00 1.792074021279473239e+00
1.455564918386104134e+00 1.954429469129645325e+00 1.999591441731480179e+00
9.057041101598665156e-01 2.062987720218804277e+00 2.190604858729038540e+00
5.242642048281843659e-01 2.058003750796853382e+00 2.356690093803028407e+00
2.877514949396982047e-01 1.942097761102250741e+00 2.490510782342624019e+00
1.530500255904391205e-01 1.723590821094452386e+00 2.577940589480931521e+00
8.018487111567194903e-02 1.433863725417830803e+00 2.603071598010043619e+00
4.174914442281696392e-02 1.116011610998846937e+00 2.554843463325576991e+00
2.171758065425912626e-02 8.139942409294769199e-01 2.429389659190919204e+00
1.128459829156936572e-02 5.589979518385906898e-01 2.230248365928035881e+00
5.830139992237881943e-03 3.640709565943062720e-01 1.968695888404774275e+00
2.975558956642067321e-03 2.270505940657800148e-01 1.664108180021976136e+00
1.482642634014450910e-03 1.371490905504791913e-01 1.342865617124292310e+00
7.150561442965852523e-04 8.120158829788973187e-02 1.033338251074830794e+00
3.313535407928614980e-04 4.759483753496419889e-02 7.343002615624626417e-01
1.509992199498942037e-04 2.779751799511965410e-02 5.212941860994270149e-01
6.495958568222262239e-05 1.623231580919447595e-02 3.551414417063269990e-01
2.547147193133580105e-05 9.536686571367638046e-03 2.354792224318843497e-01
9.028741379487114163e-06 5.728001629430841575e-03 1.574370283602037901e-01
2.888819158020950532e-06 3.674508890974599595e-03 0.000000000000000000e+00
8.631586899942529019e-07 2.601033622608723249e-03 0.000000000000000000e+00
2.500347252837028433e-07 1.653541727543571737e-03 0.000000000000000000e+00
7.873954659013761189e-06 4.350894681464710732e-04 0.000000000000000000e+00
