# t = 071 ms, neutrino energy spectrum for the wh07.12.40g model
# nu_e                   anti-nu_e                nux
2.654330343340072923e-02 3.158247052359250059e-03 3.415056162065990830e-02
4.469405956757336457e-02 5.397747497595121839e-03 4.838471823707262559e-02
7.375572762222791512e-02 9.000518537274855568e-03 6.656059071453893083e-02
1.205265768267685667e-01 1.474833218038745439e-02 9.001266718200781614e-02
1.952008365415075775e-01 2.380408655318127717e-02 1.204254010105037798e-01
3.121481610553230590e-01 3.785244501367806408e-02 1.596438214657013577e-01
4.904808397456138502e-01 5.927635004068226160e-02 2.096718051085617318e-01
7.529586288679080974e-01 9.134669329382368030e-02 2.726181262533479699e-01
1.119852996699306713e+00 1.383633518168645993e-01 3.505639487339343718e-01
1.600392000318565433e+00 2.057124004049880883e-01 4.453827901737750228e-01
2.167246952130655213e+00 2.997352152688916860e-01 5.586277731030384608e-01
2.747954512521839643e+00 4.272653783810850814e-01 6.912213096487428432e-01
3.235574107174640002e+00 5.946885215157008409e-01 8.433848837904717177e-01
3.645258366926301008e+00 8.060197927701613363e-01 1.014434327739727859e+00
3.472565050856291968e+00 1.060338820912185120e+00 1.202749087561927777e+00
3.128603727734925677e+00 1.349159838218912721e+00 1.405488248482378300e+00
2.592221928507368212e+00 1.654640362637595397e+00 1.618651879702724505e+00
1.957815244207815608e+00 1.948325596100131563e+00 1.836205342217079650e+00
1.346854615814403910e+00 2.190686460679566405e+00 2.048725887718653382e+00
8.463570257753171289e-01 2.337773715047095191e+00 2.244157668502279712e+00
4.897890549176830977e-01 2.357120338886117050e+00 2.413251755951453692e+00
2.650160947821242896e-01 2.241776192242076249e+00 2.550343319365401928e+00
1.368346317302904513e-01 2.004359999773722478e+00 2.639455158256124978e+00
6.882702096683490645e-02 1.677418783663434665e+00 2.665068186155021834e+00
3.424443685130789533e-02 1.309672899083930586e+00 2.616034086810368642e+00
1.698547510846808162e-02 9.542616347184204040e-01 2.487771629758139369e+00
8.447075737428578340e-03 6.510393408110980440e-01 2.283123166126349357e+00
4.158646359596136939e-03 4.183001045520698402e-01 2.012584592264843319e+00
2.038870891868329541e-03 2.552035701000531787e-01 1.695184527183894563e+00
9.927834222214085638e-04 1.494831924796335143e-01 1.358360499517494713e+00
4.780704562208841859e-04 8.516737555581112284e-02 1.033087147572635089e+00
2.291744372332908718e-04 4.774581211741288356e-02 7.211494135985814236e-01
1.073279157324966783e-04 2.656696415529006400e-02 4.996870349432877001e-01
4.918287451938749987e-05 1.475483072169416626e-02 3.296944812645641321e-01
2.195222891708619009e-05 8.247699436544141810e-03 2.089265053815403672e-01
9.283997721399678488e-06 4.661776874600247547e-03 1.298010636326460687e-01
3.758916519533210222e-06 2.777185985248396046e-03 0.000000000000000000e+00
1.509604152318819964e-06 1.799970422281526932e-03 0.000000000000000000e+00
5.916858979005830770e-07 1.046476271205178067e-03 0.000000000000000000e+00
8.393912408710360284e-06 4.233725944488715676e-04 0.000000000000000000e+00
