# t = 049 ms, neutrino energy spectrum for the wh07.12.40g model
# nu_e                   anti-nu_e                nux
2.885267795783295897e-02 2.966457463629122542e-03 3.401446318781962963e-02
4.869920884373549891e-02 5.073552757522053168e-03 4.807426744930837215e-02
8.066359079767529416e-02 8.477890018210023845e-03 6.604500928600874621e-02
1.324311291528377232e-01 1.392542076865201962e-02 8.918508756317715391e-02
2.156827000112597204e-01 2.252899279089313339e-02 1.191026311432997475e-01
3.470201379216544257e-01 3.590151569781806218e-02 1.575823792298601811e-01
5.489628524863502390e-01 5.632573807041478531e-02 2.065643367182440626e-01
8.490388136391956442e-01 8.692672797059983192e-02 2.680925287229178888e-01
1.271804793524103472e+00 1.317826330602067386e-01 3.441925141981255210e-01
1.827747769027781910e+00 1.959396292253649530e-01 4.367031772570871828e-01
2.484162984364321591e+00 2.852581738340546069e-01 5.471597941219715766e-01
3.151916404190234999e+00 4.059336761679246397e-01 6.765421362275358952e-01
3.698825640711069340e+00 5.634962563311745054e-01 8.252232259522541691e-01
4.126026422994693910e+00 7.609970451455478901e-01 9.926208598318483345e-01
3.916369597744804310e+00 9.966763544502421635e-01 1.177144767641431056e+00
3.483330647910102496e+00 1.261761025255135005e+00 1.376136964992428657e+00
2.847495475792788167e+00 1.538794950869390332e+00 1.585478700040302558e+00
2.119415785307597222e+00 1.800089369939720019e+00 1.798719793846024428e+00
1.438880871568968711e+00 2.007873021592982976e+00 2.006265283540547895e+00
8.968604148048632263e-01 2.123384182488370353e+00 2.197094430067808801e+00
5.197897527173159782e-01 2.122525840566642952e+00 2.363004926270805939e+00
2.854399026902295633e-01 2.005247942184691823e+00 2.496977064349425568e+00
1.516552933952268201e-01 1.781868949442046324e+00 2.584552246463468261e+00
7.927783603970824100e-02 1.484168526179544090e+00 2.609283987714455577e+00
4.117826306838189704e-02 1.156383863541625701e+00 2.560828762651959689e+00
2.135303401098307199e-02 8.440747141487099370e-01 2.435178441183472930e+00
1.105403721123660553e-02 5.798306715106912312e-01 2.235658633309721477e+00
5.696272696219947633e-03 3.775227623536634436e-01 1.973298273695391236e+00
2.906536810668395622e-03 2.351942237588877105e-01 1.667311968544000544e+00
1.454393574075287963e-03 1.418139160751883954e-01 1.344181107618320992e+00
7.079487719753602831e-04 8.375860130356571620e-02 1.032684314502516409e+00
3.354646740858295800e-04 4.892889593148803257e-02 7.321712828906649095e-01
1.544458455091462471e-04 2.845697896756150397e-02 5.184075556729087486e-01
6.857118027805747442e-05 1.654777221450148827e-02 3.519565922681092141e-01
2.834070479455656820e-05 9.675294439794949672e-03 2.314429119390146727e-01
1.069200335617717661e-05 5.777421926710656595e-03 1.520631634895528439e-01
3.669380244628164171e-06 3.682593980338918181e-03 0.000000000000000000e+00
1.184815898629613712e-06 2.586436618232421970e-03 0.000000000000000000e+00
3.726246788328062213e-07 1.625393000154815547e-03 0.000000000000000000e+00
8.061493044963651163e-06 4.358196777812615584e-04 0.000000000000000000e+00
