# t = 003 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
4.605859224104726091e-02 6.354400051739704383e-04 2.644241434975413974e-02
7.726473646119115524e-02 1.078789912556651475e-03 3.705007691312228041e-02
1.278437917123416701e-01 1.781859792944558759e-03 5.026589301186023401e-02
2.097125681269940978e-01 2.882183968473831046e-03 6.700123674191697798e-02
3.420017508324103006e-01 4.574218914715570336e-03 8.833650499180231708e-02
5.539323843817388626e-01 7.119680107430977067e-03 1.154265124836234974e-01
8.889930584711751571e-01 1.085132440852712606e-02 1.495094648316042940e-01
1.411928305369748005e+00 1.616118598044477897e-02 1.918675860622095497e-01
2.215084781751914811e+00 2.345790067848049776e-02 2.437888888833706913e-01
3.419996092107247421e+00 3.308384723072644445e-02 3.064371126552959401e-01
5.132850154337127435e+00 4.519365692626171188e-02 3.807017092905710665e-01
7.448451114453055411e+00 5.961005425634872956e-02 4.671593912222086198e-01
1.041805636275725533e+01 7.567951880122776587e-02 5.658928133898905033e-01
1.425351620763400362e+01 9.214141340850509621e-02 6.763133705330568457e-01
1.750882951153612055e+01 1.071018501107455778e-01 7.969086573551408259e-01
2.024845223981754216e+01 1.182173711939822069e-01 9.250170120555031295e-01
2.145568549365669853e+01 1.233063866956074506e-01 1.056451586680130061e+00
2.052335534899203040e+01 1.213755945246606793e-01 1.185219601594457828e+00
1.757704780839794623e+01 1.129988903882387929e-01 1.304592840056791436e+00
1.337605454037349340e+01 9.911825396185544590e-02 1.408460696574511672e+00
9.015505471790547176e+00 8.160960166876528310e-02 1.489331142418958809e+00
5.384943341786165405e+00 6.305829461511497369e-02 1.538942419695155772e+00
2.781620026066102813e+00 4.576990364348176854e-02 1.549783677619573030e+00
1.278846949850030335e+00 3.130028708055447584e-02 1.516704904978213975e+00
5.054879089203171416e-01 2.017984641786934805e-02 1.438916546690229170e+00
1.695638898203739586e-01 1.213875097493732728e-02 1.319791325674202209e+00
4.797236355221867060e-02 6.754327457934578352e-03 1.166639243094229617e+00
1.132939792216337317e-02 3.470490529398586287e-03 9.928787343831817491e-01
2.228459156802677088e-03 1.651387562566056059e-03 8.152658871629633319e-01
3.608378061172235656e-04 7.283701373659176798e-04 6.477269740970651446e-01
4.516612660321703981e-05 2.971797333877143361e-04 4.982475740285058352e-01
4.241584218476073494e-06 1.119927969331588899e-04 3.582339005763970352e-01
3.259761084735457614e-07 3.898890810559102276e-05 2.629355466645448280e-01
2.029584470299831500e-08 1.262912234138062650e-05 1.896473076830577087e-01
1.021794185903998162e-09 3.834675874719087183e-06 1.393669581519626777e-01
4.163371244267294896e-11 1.101213749543651943e-06 1.154846475362039243e-01
1.365822665531398490e-12 3.038249420323359167e-07 0.000000000000000000e+00
3.415838122559000808e-14 8.453140319911810686e-08 0.000000000000000000e+00
5.041712086394158468e-16 2.686858019195360301e-08 0.000000000000000000e+00
1.748218442229394766e-06 3.464708318302940800e-04 0.000000000000000000e+00
