# t = 018 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
3.998830193516283993e-02 2.419595523215663582e-03 3.461288878371788363e-02
6.728988846733573170e-02 4.130036952565518775e-03 4.873491966869407388e-02
1.113534019580811329e-01 6.881032196964101746e-03 6.658869304179332316e-02
1.821904916748879055e-01 1.126203760657409729e-02 8.941716255081863518e-02
2.954163519604712240e-01 1.813744903191270158e-02 1.187537186084507285e-01
4.736841335782430717e-01 2.873778400447586645e-02 1.562942788948874506e-01
7.483570896285276497e-01 4.475121322947744201e-02 2.038932949160226493e-01
1.162115910840142208e+00 6.840340983022123733e-02 2.635294003855194189e-01
1.766382015595372668e+00 1.024764032528819591e-01 3.372072927111491869e-01
2.611338578642007135e+00 1.502004884522165074e-01 4.268167526812827739e-01
3.684067448676385581e+00 2.149821266488328164e-01 5.339910877321918381e-01
4.915102855849699637e+00 2.999015133499185470e-01 6.599834437436546963e-01
6.172707259652201017e+00 4.068649223353135724e-01 8.054187596960982187e-01
7.537242478551998914e+00 5.353392512575684270e-01 9.702018933343142804e-01
7.694933130752419359e+00 6.809720159104394321e-01 1.153302896288559198e+00
7.389213594609167046e+00 8.345555493943932479e-01 1.352414595494268346e+00
6.477230375636656490e+00 9.816105905626503203e-01 1.563459147978504937e+00
5.146203258275385828e+00 1.102761640566324752e+00 1.779465671437630014e+00
3.721554137501076553e+00 1.176813301890832442e+00 1.990650837950098007e+00
2.473062714285843455e+00 1.188278752001372007e+00 2.187826470714480998e+00
1.536751075207547723e+00 1.134316781356451420e+00 2.363578525859047819e+00
9.113530974806449692e-01 1.021512349525763863e+00 2.505013429808702341e+00
5.251057560670630009e-01 8.643397730333848283e-01 2.598280309243449882e+00
2.954565690002749490e-01 6.861932830179616749e-01 2.630308005492838497e+00
1.617723470067419234e-01 5.114214606589092549e-01 2.591448232049645028e+00
8.575914879217176601e-02 3.591483772466962376e-01 2.478318602558543748e+00
4.362345338078015000e-02 2.391432762624468578e-01 2.294551221927976670e+00
2.096684516721612074e-02 1.527174789678525102e-01 2.051335521351643099e+00
9.364091514486036841e-03 9.547088387907211315e-02 1.768652161233899900e+00
3.743232700574626506e-03 5.921681636653882558e-02 1.472519544123757518e+00
1.237565774122401964e-03 3.613832113642376914e-02 1.185647110880042376e+00
3.262089381857081354e-04 2.147655764264163811e-02 8.919319926450549607e-01
7.154270996473417895e-05 1.231232678168234229e-02 6.874069558605392372e-01
1.287426695242718508e-05 6.839811010927850099e-03 5.234203549216113194e-01
1.879175274184067279e-06 3.719198480432814573e-03 4.045288862563777288e-01
2.208606910451297556e-07 2.009975838016861416e-03 3.395701193574195420e-01
2.082823696801137300e-08 1.126064424415046264e-03 0.000000000000000000e+00
1.569026419030606449e-09 7.042754721567600620e-04 0.000000000000000000e+00
9.820555085788662249e-11 4.397755264988247861e-04 0.000000000000000000e+00
6.735996655455551056e-06 4.598925238984563494e-04 0.000000000000000000e+00
