# t = 021 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
3.957235752457945177e-02 2.733033320303864758e-03 3.539149009719737976e-02
6.663263236513189414e-02 4.667874747586480376e-03 4.986787922494655134e-02
1.103018378448945847e-01 7.783227108421227926e-03 6.818719441733668563e-02
1.805171973959434628e-01 1.275114632167405858e-02 9.163480222199815728e-02
2.927329461368861629e-01 2.055941828515054151e-02 1.217924447879466521e-01
4.692869912820577527e-01 3.262175032247009027e-02 1.604134988628533598e-01
7.409291955447452338e-01 5.088930215737939161e-02 2.094150885468898382e-01
1.149044606554805226e+00 7.795272730316168963e-02 2.708412707552165788e-01
1.742031905020640092e+00 1.170838466532624772e-01 3.467604525312755759e-01
2.564333919082101065e+00 1.721392453567983094e-01 4.391184419893949253e-01
3.592580646032653480e+00 2.472781170046360610e-01 5.495908992247744429e-01
4.744708036112029070e+00 3.464126402826205875e-01 6.794554594127519831e-01
5.881335284587900780e+00 4.722412849240720245e-01 8.292859729050432449e-01
7.088828996916618941e+00 6.247565369453909057e-01 9.990412316512303770e-01
7.089673424615514641e+00 7.995541929539897730e-01 1.187615806832723386e+00
6.684482081601723635e+00 9.864824353269951995e-01 1.392634507493641705e+00
5.757908692509138504e+00 1.168970775326172440e+00 1.609899015496971453e+00
4.496562836128891405e+00 1.324165694421878925e+00 1.832182060224487596e+00
3.194452832195119552e+00 1.425910984957367678e+00 2.049285051243332489e+00
2.084418961548911486e+00 1.453034278189147654e+00 2.251720842178330351e+00
1.269471778116080030e+00 1.398637768620405009e+00 2.432057213084851455e+00
7.408425303517690574e-01 1.270817321510927078e+00 2.576889232438702493e+00
4.221512158300725903e-01 1.084815625323609645e+00 2.671811437000407352e+00
2.368666288303794831e-01 8.685203582665199651e-01 2.703381261070977093e+00
1.304166421975566093e-01 6.523524230709479843e-01 2.661980196076075611e+00
6.992988201008673577e-02 4.613298113351575469e-01 2.544073830088893651e+00
3.616583631794169362e-02 3.089552638691332453e-01 2.352748609914891986e+00
1.783070324596975481e-02 1.976039838312425856e-01 2.099373055197927496e+00
8.272135702502202148e-03 1.227519129355456456e-01 1.804340379549230544e+00
3.473085567165083883e-03 7.600221336024724772e-02 1.494924418344648176e+00
1.225016191191457627e-03 4.682782402658846460e-02 1.196863406996479640e+00
3.521453087455086485e-04 2.852740409377322109e-02 8.943522740135055882e-01
8.550940744040614531e-05 1.698791505320195946e-02 6.824011046918662116e-01
1.722800359435468760e-05 9.813105194598267106e-03 5.115465799787147771e-01
2.835710396414945168e-06 5.533312406704233959e-03 3.858535834787419350e-01
3.767294261398462462e-07 3.103696667508133375e-03 3.103560569648139422e-01
4.008053587661927279e-08 1.812306000687436292e-03 0.000000000000000000e+00
3.389185951450337860e-09 1.184190485827203666e-03 0.000000000000000000e+00
2.379400539134919006e-10 7.669252374531137107e-04 0.000000000000000000e+00
7.591144358448953950e-06 4.688886219902548610e-04 0.000000000000000000e+00
