# t = -007 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e              nux
6.525747051415133060e-02 1.683909876564064736e-05 9.659190650956275435e-04
1.026408065441682255e-01 2.664322568559356430e-05 1.131212092308067369e-03
1.601222700698003709e-01 4.076441874619747107e-05 1.255025162668425712e-03
2.485827759085909305e-01 6.085857045704003696e-05 1.366603126468832891e-03
3.839554651168438637e-01 8.864997795226391304e-05 1.469588802764211196e-03
5.889990550305530537e-01 1.256048891822948775e-04 1.570265959665360141e-03
8.944269028560601908e-01 1.721122165130184326e-04 1.672293617882111621e-03
1.339326656955974082e+00 2.279550630240496922e-04 1.789438023908582545e-03
1.970929201064310465e+00 2.915305022040823790e-04 1.937670989107948168e-03
2.837230148252934736e+00 3.586559895282425900e-04 2.121146703104112227e-03
3.939192192179597374e+00 4.212959810559212584e-04 2.268231239623726570e-03
5.256154932624454545e+00 4.682313780451957306e-04 1.806984902704487526e-03
6.745784294573286211e+00 4.931077926599057104e-04 1.202189635124514822e-03
8.626337047308286543e+00 4.901988405399825173e-04 7.306178024997926667e-04
9.386566323462918859e+00 4.564162196993653241e-04 4.311409879747215060e-04
9.342219217218836746e+00 3.913792251441047701e-04 2.625210382523689807e-04
7.798077556710235392e+00 3.078666002682712427e-04 1.642066005899038659e-04
4.984202524095232789e+00 2.218447575132878407e-04 9.982683053792864919e-05
2.237670030399482535e+00 1.455479996540284132e-04 5.855252914508720784e-05
6.924796604335400341e-01 8.580681395020200953e-05 3.298811884108372603e-05
1.620388309141330141e-01 4.445821765265750076e-05 1.761129370461836315e-05
3.118363130946636558e-02 2.040814491318198088e-05 8.904666946375868126e-06
5.221409336607901915e-03 8.345623011705718966e-06 4.238411669700922966e-06
7.832600886597200062e-04 3.072124302943136086e-06 1.892860572317181262e-06
1.070613123058959714e-04 1.032260954268463148e-06 7.875336091665499980e-07
1.361076367136693067e-05 3.341013410136073738e-07 3.062504446216145062e-07
1.684286779187213040e-06 1.131751619311744153e-07 1.127746788179865983e-07
2.205750344105559091e-07 4.398855230457086664e-08 4.080916126180715716e-08
3.468504756374619363e-08 2.117046901902454951e-08 1.595795285057922368e-08
8.184570025004234342e-09 1.261773088168817121e-08 6.981076857221830492e-09
1.998422807556230246e-09 8.602896104070432685e-09 3.479436756052698018e-09
4.354181525733430260e-10 6.158103407609669047e-09 1.882387206220782522e-09
8.051355062599849619e-11 4.317434629697986223e-09 1.170629533634101486e-09
1.255766445861347107e-11 2.879852101581547808e-09 7.573882378971750767e-10
1.646228252337096982e-12 1.807701539684291328e-09 4.903760400343046848e-10
1.799569202400028618e-13 1.069174631973324848e-09 3.106027836263175879e-10
1.620306589792353821e-14 6.087189806060176926e-10 0.000000000000000000e+00
1.184785357500940635e-15 3.794941634656824758e-10 0.000000000000000000e+00
7.374654201519246183e-17 3.387951097717218713e-10 0.000000000000000000e+00
3.385996760463854735e-08 7.002809405799016578e-06 0.000000000000000000e+00
