# t = -027 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e              nux
2.164106889155196708e-02 1.121845075736965727e-05 4.732963111302339386e-05
3.545738413229695268e-02 1.800782117998786535e-05 5.903951063131835861e-05
5.575437431074171252e-02 2.765288094926223738e-05 7.087816323089846473e-05
8.532246991463958430e-02 4.117712575956807193e-05 8.324310344543920162e-05
1.271880530554665434e-01 5.964077736832890629e-05 9.433919573023581738e-05
1.834376147639668608e-01 8.390239717180047736e-05 1.058761823736778328e-04
2.534736486223641005e-01 1.143205363004194550e-04 1.156321861148346645e-04
3.308707226670230539e-01 1.507000991605821744e-04 1.221309165958670213e-04
3.986441267375712139e-01 1.918397993018983953e-04 1.246937641910943499e-04
4.450049925016443253e-01 2.349131800709843606e-04 1.227416801330034337e-04
4.527792254676972772e-01 2.751036605390527745e-04 1.156256419434037669e-04
4.075356744264297393e-01 3.065299724976555847e-04 1.032519481124855395e-04
3.420108318012078930e-01 3.245962119790993337e-04 8.755853273082102252e-05
3.977013996702629672e-01 3.254939637956132462e-04 7.049387413600283041e-05
1.243292966586344861e-01 3.071282314167465420e-04 5.366919481237285506e-05
8.577440715278419892e-02 2.703499682467099918e-04 3.834876262192664744e-05
4.892235191912236436e-02 2.213809526055678578e-04 2.564743059190129046e-05
1.904270249102025733e-02 1.684565271555942836e-04 1.604268638573603923e-05
8.282963986558145031e-03 1.188304620164425725e-04 9.378109937337595134e-06
3.546977894787604023e-03 7.738569514746883565e-05 5.118959571379867614e-06
1.448747265938784244e-03 4.635742649161717261e-05 2.609699714139710670e-06
5.506763446190512295e-04 2.569773436746144183e-05 1.247407506874311885e-06
1.912474625560266238e-04 1.326056870389299572e-05 5.613319071473514862e-07
5.991917179101504114e-05 6.406389310752456378e-06 2.384756792246821044e-07
1.679047783934048033e-05 2.910641922439823505e-06 9.570422267621854191e-08
4.177288803307226418e-06 1.248595216463278749e-06 3.621455490266451660e-08
9.101259465442584485e-07 5.059189716908314884e-07 1.286960078569427252e-08
1.680342393773898133e-07 1.930787548643967643e-07 4.269801483575820162e-09
2.451622767812486203e-08 6.911261823748585230e-08 1.311047656236419673e-09
2.382181546078890323e-09 2.309731481615088614e-08 3.671107388916338915e-10
1.058161261877138048e-10 7.164011845832506214e-09 9.089894843615371674e-11
1.025875125979452810e-12 2.048002484280824946e-09 1.794350211547148645e-11
6.647290140743393639e-19 5.325977790652113962e-10 2.666192559486918118e-12
8.181136886040296044e-20 1.223574552545291249e-10 1.843381954140747837e-13
7.871474080355446510e-21 2.304631786240242244e-11 4.096675504370418652e-16
6.487210526858733506e-22 2.943312103814700821e-12 1.353824769269532613e-21
4.679955439375996429e-23 1.452646986444855552e-13 0.000000000000000000e+00
3.045102271916895534e-24 3.662778481337991253e-20 0.000000000000000000e+00
1.693130748364969606e-25 3.069740335245042432e-21 0.000000000000000000e+00
2.615186457573860540e-08 4.444928797591482957e-07 0.000000000000000000e+00
