# t = 043 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
3.875009037000216178e-02 4.279944993993919228e-03 3.866430303748417258e-02
6.553760958412943594e-02 7.311556376120846579e-03 5.465978882540922790e-02
1.088575238583492782e-01 1.218517035374243329e-02 7.499100329217933680e-02
1.788675166265564220e-01 1.995263826663436213e-02 1.011420637879813511e-01
2.912258971742778257e-01 3.216099940227670761e-02 1.349121380310388529e-01
4.684687931224116308e-01 5.104123621505772535e-02 1.783106463797730079e-01
7.410880142502641599e-01 7.971419524337008955e-02 2.335303609637731925e-01
1.147266562087688291e+00 1.223829279325800296e-01 3.028974715161153464e-01
1.726719478567827482e+00 1.844536446654763684e-01 3.887461360277720823e-01
2.504925980363728932e+00 2.725182370422523093e-01 4.932421916392314976e-01
3.425779846480167645e+00 3.940411911277826307e-01 6.181118548492671172e-01
4.375680604532318441e+00 5.566575050272858372e-01 7.646618974530602353e-01
5.201596404918116257e+00 7.667800177090453584e-01 9.336092353743392636e-01
5.984422653163473882e+00 1.027223023055384932e+00 1.124723010129255796e+00
5.615105316977437866e+00 1.333943769444182248e+00 1.336626196377067144e+00
5.044843323461176254e+00 1.674060995008057828e+00 1.566648038293598111e+00
4.164189622728561524e+00 2.023577592042403950e+00 1.810478907325541398e+00
3.126504241415697827e+00 2.345728430534949727e+00 2.061074913734586733e+00
2.139482792351241613e+00 2.592471452804400833e+00 2.307761115100080751e+00
1.345355708593023669e+00 2.715894798453803105e+00 2.537923578637055755e+00
7.886447881005294036e-01 2.690820744450580282e+00 2.740702633452170023e+00
4.395816716299868476e-01 2.522411129825603116e+00 2.905092880018966817e+00
2.378598537941501723e-01 2.224361087988202090e+00 3.014708517652819442e+00
1.269735346359278372e-01 1.839925924051169392e+00 3.053262558188087894e+00
6.746599486616072783e-02 1.425758827842339427e+00 3.006256147237736709e+00
3.577752284461077625e-02 1.037420853555727884e+00 2.865456339505989103e+00
1.889425912641101366e-02 7.127172895963505006e-01 2.635284043352104977e+00
9.884672660366427069e-03 4.660624914865553747e-01 2.330196376894974719e+00
5.164490962321325804e-03 2.930577868066361336e-01 1.974504861055877747e+00
2.515003776951958529e-03 1.791942599514761703e-01 1.600011728143722944e+00
1.087199733816408094e-03 1.076508292817149881e-01 1.239625145478150392e+00
4.229854996613073548e-04 6.399468376720136853e-02 8.875840607359346546e-01
1.511074179605565338e-04 3.789149633567226449e-02 6.448486151848566994e-01
4.817915596518007550e-05 2.270754089101282777e-02 4.569494376990185791e-01
1.341422568490502657e-05 1.397522870093947239e-02 3.177434340931319934e-01
3.192227017763588526e-06 8.620430287334281474e-03 2.221710376567044565e-01
6.363324855714862961e-07 5.768308736443151889e-03 0.000000000000000000e+00
1.053740040178115700e-07 4.229460402300175802e-03 0.000000000000000000e+00
1.569315333362289793e-08 2.894754097031596116e-03 0.000000000000000000e+00
1.178174684012894962e-05 5.024346026763356569e-04 0.000000000000000000e+00
