# t = 025 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
3.922960187232753942e-02 3.096851925410882764e-03 3.619459980209133870e-02
6.612130689646131265e-02 5.293312393078341248e-03 5.103753009380975619e-02
1.095340619741559801e-01 8.831032460981094387e-03 6.984567923724209482e-02
1.793908889738738688e-01 1.447670033559434431e-02 9.395387869119820046e-02
2.910890665493493512e-01 2.335922272157801849e-02 1.249925521650441379e-01
4.668220273146386212e-01 3.710024618035959176e-02 1.647788049464873339e-01
7.369536841156242302e-01 5.795097991457577591e-02 2.152998174046453495e-01
1.141743923724136689e+00 8.891596810982677068e-02 2.786734711419191490e-01
1.726679365486670559e+00 1.338175511367553083e-01 3.570410888402358318e-01
2.530007922625591377e+00 1.972190523690680597e-01 4.524142561797365181e-01
3.517427363547028563e+00 2.841299304884224441e-01 5.665216407667381660e-01
4.594452860555502838e+00 3.994092725926109977e-01 7.006231782495796478e-01
5.613460593315810598e+00 5.466758189924790790e-01 8.553678724050789439e-01
6.668336840790354714e+00 7.265733290640038478e-01 1.030734375742951459e+00
6.525387456185336887e+00 9.347468003319888696e-01 1.225588312948736158e+00
6.042530620894683402e+00 1.160146759568576824e+00 1.437541333128415255e+00
5.122541588403009882e+00 1.384043686271950513e+00 1.662366068614635539e+00
3.943613543484960182e+00 1.579788744336511952e+00 1.892701193849724683e+00
2.762764133993932614e+00 1.715101451239478658e+00 2.117986475429259219e+00
1.780485431531160456e+00 1.762713093569518108e+00 2.328295810896633178e+00
1.072354594386279780e+00 1.712148531000335927e+00 2.516024455911927138e+00
6.169276073433617169e-01 1.570971205800878012e+00 2.667320975717340392e+00
3.479863165924944601e-01 1.354923124025217085e+00 2.766843668572893655e+00
1.949816101043793937e-01 1.096320676809519279e+00 2.800075045121601658e+00
1.085642109717262771e-01 8.322470007475352149e-01 2.756667474078057900e+00
5.946023811077348620e-02 5.948716442435219021e-01 2.632625629992490168e+00
3.149005278632061033e-02 4.028451728168935819e-01 2.430272082633845976e+00
1.585971640455555165e-02 2.603876928232836119e-01 2.161554543891956559e+00
7.524052186291006750e-03 1.621522324299742301e-01 1.848521524839301211e+00
3.263952680600966296e-03 9.912914781308426737e-02 1.519970668963194216e+00
1.211569362916475748e-03 6.117359410037125078e-02 1.205264191018236453e+00
3.769310308139924167e-04 3.777677896218909620e-02 8.925575364678428603e-01
1.013468702523878949e-04 2.318911220851273269e-02 6.739499886011864893e-01
2.303940283826267713e-05 1.398867230077188197e-02 4.972975545540453401e-01
4.338602014458057795e-06 8.225152215288912896e-03 3.657396828365033215e-01
6.648884453987106810e-07 4.784577647575415094e-03 2.815105069405647864e-01
8.179615432552214949e-08 2.895243971896136088e-03 0.000000000000000000e+00
7.979521937249793337e-09 1.956224919169642640e-03 0.000000000000000000e+00
6.475884897219998252e-10 1.293993877634257595e-03 0.000000000000000000e+00
8.592227902944552987e-06 4.775367591061161041e-04 0.000000000000000000e+00
