# t = 000 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e                nux
4.908165156654814565e-02 3.719299650743793074e-04 2.190391931196154773e-02
8.215248932405805338e-02 6.330697904895289706e-04 3.062475922800612926e-02
1.357813996114571320e-01 1.046876240178303214e-03 4.132203508428982514e-02
2.227443338540004147e-01 1.695120799901106553e-03 5.479370554791813952e-02
3.635784889697913358e-01 2.693302714251302483e-03 7.186785925890264159e-02
5.898836989246041274e-01 4.196581083499698918e-03 9.340143469017538058e-02
9.495674033910130873e-01 6.402262222891114130e-03 1.202814828283474136e-01
1.516126877394770256e+00 9.543197841673607337e-03 1.534030213650699748e-01
2.397330438538098019e+00 1.386096248181986797e-02 1.935935138365369734e-01
3.740173252318896413e+00 1.955216743874558030e-02 2.414969573433619898e-01
5.690141693316328464e+00 2.668907433375296290e-02 2.974459535584619285e-01
8.396243529483417234e+00 3.512931531026089460e-02 3.613755707165353659e-01
1.197931030428864929e+01 4.443704584939205809e-02 4.327813582872404585e-01
1.674173092349036196e+01 5.381663572675116081e-02 5.105495990372275195e-01
2.127467587870611254e+01 6.212438349067105764e-02 5.925316823159533230e-01
2.571731788542260233e+01 6.800382558288108059e-02 6.756508883364535922e-01
2.870790198781399383e+01 7.023217112919342975e-02 7.557807953989470473e-01
2.882765556259707296e+01 6.825090704247338547e-02 8.281365911475624397e-01
2.530469841453792412e+01 6.244128127236651254e-02 8.884339093595144954e-01
1.893747747956621197e+01 5.355177338596264769e-02 9.328945371371462070e-01
1.189737175845767325e+01 4.289626395051087532e-02 9.576995654196478469e-01
6.205172736721658922e+00 3.203996165804216117e-02 9.610817699680089810e-01
2.635016871452959819e+00 2.227552544600813408e-02 9.425871208124867451e-01
9.122307047165305605e-01 1.434730797229232316e-02 9.019410238142917535e-01
2.541693167211166449e-01 8.531615781568592169e-03 8.393279875776271659e-01
5.636078720328174113e-02 4.696734245326883092e-03 7.568214192549685970e-01
9.783054462847230390e-03 2.403502841746517609e-03 6.581341155797750808e-01
1.284741151264462812e-03 1.144864524592262419e-03 5.479504392977350147e-01
1.175560607288880343e-04 5.072841669481809642e-04 4.325274951964895864e-01
5.690757082416684902e-06 2.087029769176325725e-04 3.203193898038397269e-01
4.258608016077686624e-08 7.935383080486905778e-05 2.199548890862381700e-01
7.285499666886667636e-10 2.776837596266424897e-05 1.337855922369190487e-01
6.617801110518817059e-11 8.907830280031846972e-06 7.790429832640902164e-02
6.116241535319359122e-12 2.621448448634241747e-06 4.119772172328587528e-02
5.942740526828534524e-13 7.080201653978586010e-07 1.962071029024221522e-02
5.748822198157658388e-14 1.758128967963087836e-07 8.202181706331043362e-03
5.009975164702478243e-15 4.048626413586252383e-08 0.000000000000000000e+00
3.727695354977713551e-16 8.969105758388659189e-09 0.000000000000000000e+00
2.427639965796499972e-17 2.112046882624885744e-09 0.000000000000000000e+00
9.884787264950207239e-07 2.780233003527996156e-04 0.000000000000000000e+00
