# t = -032 ms, neutrino energy spectrum for the wh07.25.40g model
# nu_e                   anti-nu_e              nux
1.104065721814942447e-02 1.541217039897983923e-06 1.827436821634947881e-05
1.684716027965348431e-02 2.259423721730976189e-06 2.477492791110838706e-05
2.566626322982724223e-02 3.271466284695525036e-06 3.070955182323897268e-05
3.884389996813737700e-02 4.615379419848326244e-06 3.568484746765372353e-05
5.791351767396840655e-02 6.321067248928246590e-06 3.927718027522759725e-05
8.337033642995964056e-02 8.377595568117136257e-06 4.093577419306919092e-05
1.146724644420627909e-01 1.071904915168664926e-05 4.041248355325019459e-05
1.488707495888884069e-01 1.320654517136590654e-05 3.764591641918467457e-05
1.725806422028328679e-01 1.559773426183827489e-05 3.259975587651952895e-05
1.679653354675683663e-01 1.755481148909658685e-05 2.645079518914861055e-05
1.358509960283906248e-01 1.872266316185509246e-05 1.999219951295805919e-05
9.464841548201864685e-02 1.884938553319725728e-05 1.384333739852362265e-05
8.271409145989111478e-02 1.783864092914038248e-05 8.737135514542481864e-06
2.211474501032340556e-01 1.572462682317790378e-05 4.976574752211967268e-06
7.600457391235661275e-02 1.275619725990638990e-05 2.513722790485390584e-06
1.380662039317459566e-02 9.420715650723556809e-06 1.094707365236792094e-06
2.157429053295878332e-03 6.299900138197602513e-06 4.084018045701901383e-07
2.104169306090984345e-04 3.769849355368460484e-06 1.549792824471810570e-07
1.939709663280207564e-05 1.974550393725312253e-06 5.538153109117700071e-08
1.863514285721499351e-06 8.718046457580122987e-07 1.723430208083029049e-08
1.685770473540198288e-07 3.087107819996019945e-07 4.574081082476164172e-09
1.339712747147687694e-08 8.483932748261865203e-08 1.025580290092249186e-09
8.925827066370719994e-10 1.971185057406833789e-08 1.945420934820737985e-10
4.737869446514019339e-11 7.681097086380729897e-09 3.006044708194371387e-11
2.193284211127521701e-12 2.370791089324192132e-09 3.975687975096457861e-12
1.429322114535451543e-13 5.469140918830973930e-10 4.568816828962330337e-13
1.002393331164571507e-14 9.554595855854974255e-11 4.522353428788669988e-14
6.813696191980753960e-16 1.294054481725550341e-11 3.803370486725606433e-15
4.493709870752895656e-17 1.389029290962418689e-12 2.880714603425983946e-16
2.960885867495101613e-18 1.186249312539461196e-13 2.417840798054031436e-17
1.941801606990184507e-19 7.776185202995642415e-15 2.487355021174110961e-18
1.299519659084706377e-20 3.666532399089094033e-16 2.450581351845076148e-19
9.270008476637708571e-22 1.070192959812657159e-17 2.461122170348311196e-20
5.954049723131963284e-23 7.328029345817957024e-20 2.371947496605420773e-21
3.426289020845123381e-24 8.232359099979923437e-22 2.218199802538280700e-22
1.955728855796712931e-25 1.097837170478352214e-22 2.015945889764884819e-23
1.058775696002971152e-26 1.125682073769519930e-23 0.000000000000000000e+00
5.459951218523539113e-28 9.321376241776310814e-25 0.000000000000000000e+00
2.789774582339003192e-29 9.225197456157066054e-26 0.000000000000000000e+00
5.633453960850623409e-09 1.385855322753633610e-07 0.000000000000000000e+00
